species	p.val.FR-CRC	p.val.DE-CRC	p.val.CN-CRC	p.val.US-CRC	p.val.AT-CRC	p.val.all	p.adj.FR-CRC	p.adj.DE-CRC	p.adj.CN-CRC	p.adj.US-CRC	p.adj.AT-CRC	p.adj.all	fc.FR-CRC	fc.DE-CRC	fc.CN-CRC	fc.US-CRC	fc.AT-CRC	fc.all	auc.FR-CRC	auc.DE-CRC	auc.CN-CRC	auc.US-CRC	auc.AT-CRC	auc.all	ancom.FR-CRC	ancom.DE-CRC	ancom.CN-CRC	ancom.US-CRC	ancom.AT-CRC	ancom.all	ancom.all-blocked
Bifidobacterium longum [ref_mOTU_v2_0150]	0.020163430504297083	0.6916196135196292	0.22451629245908472	0.9314420844828459	0.19750540653438817	0.02358381356899314	0.23912124626222736	0.8324529243785986	0.5143305888755676	1	0.4214806098208077	0.08667817194837737	-0.6108920948331626	-0.06428559964175429	-0.2725078898133726	0.06495487494926963	-0.11752758613509875	-0.20005165909482372	0.37364676770801114	0.4788888888888889	0.436834094368341	0.5049926035502958	0.42736369910282956	0.4387688198154444	658	0	4	0	0	434	NA
Bifidobacterium breve [ref_mOTU_v2_0157]	0.9589513588132459	0.05666328095364215	0.7152596291326612	0.9831613421378597	0.5713336118516248	0.21530417656698234	0.9911818877920351	0.2572819243300508	0.8706514974426323	1	0.7692101310782852	0.4035170991288477	-0.023053860484790967	-0.007671244934351333	0	0	-0.05381498895213851	-0.01690801887425616	0.49829879369007113	0.4588888888888889	0.49289700659563673	0.5007396449704142	0.4787784679089027	0.48138659543467704	1	219	35	0	98	178	NA
Klebsiella sp. [ref_mOTU_v2_0160]	0.44587756077616947	0.9841907155068356	0.8960870071438419	0.6439563313268404	0.35391246773296803	0.4126284548645893	0.7841695750124359	1	0.9477750584994421	0.8857117336319805	0.6051209013508994	0.5993133431562836	0.06184347809374662	-0.03861507028144345	0.10176544134194854	0.034098445347268865	0.09114133413098335	0.05004672572650078	0.5238168883390041	0.5008333333333334	0.5068493150684932	0.5214497041420119	0.5396825396825397	0.5377367654201068	6	41	0	0	14	54	NA
Lactobacillus ruminis [ref_mOTU_v2_0167]	0.006661179671047117	0.08240083552282343	0.3886936253956408	0.5827776172924215	0.8430938350373477	0.007070766924210374	0.15745018169428207	0.3131977458786049	0.6418633524735059	0.8450785763890105	0.918528546593321	0.03514765288403311	-0.09896990987405727	0	0	0	0	-0.019793981974811452	0.4344262295081967	0.475	0.48807711821410454	0.5092455621301775	0.5027605244996549	0.48094949004371057	280	181	33	3	129	329	NA
Lactococcus lactis [ref_mOTU_v2_0182]	0.48144265195974756	0.38417480548695354	0.2718665138114428	0.3828392932750261	0.3547778490625079	0.9053698597160066	0.8156432856138983	0.6159877534435529	0.5394851133445817	0.7282556536390244	0.6051209013508994	0.9505520140973459	0.10637088978189013	-0.11268194332395666	-0.054746286723525606	-0.09657437062930256	0.11923483444094482	-0.007679375290789975	0.5375811939375194	0.45583333333333337	0.4687975646879757	0.46375739644970415	0.5481366459627329	0.48158693540553665	0	10	38	0	1	98	NA
Streptococcus vestibularis [ref_mOTU_v2_0198]	0.06187341041225996	0.6218895307993303	0.4815303779774788	0.5649871572669865	0.494305277276559	0.2647456522956924	0.36920559643401757	0.7931307840652989	0.6976071229872008	0.8450785763890105	0.6960625333078075	0.4486408359262332	-0.31134616711687935	-0.044007004220913394	0.06704079564828434	0.08451334306866297	-0.18528802035039907	-0.0778174105942489	0.3999381379523662	0.47527777777777774	0.5360223236935566	0.5321745562130178	0.46152518978605933	0.4710417678484702	468	5	15	0	11	97	NA
Streptococcus salivarius [ref_mOTU_v2_0199]	0.003562515250218102	0.01829428923656954	0.24479039246873605	0.7923100319369247	0.11913771440671153	7.919264605144168e-5	0.11427490114491375	0.13508476871100866	0.5143305888755676	0.9318646398349058	0.3171897991278365	0.0010672151825027616	-0.37683265959338974	-0.26720525324095296	-0.13994350934659294	0.011467813913043927	-0.23930194329037782	-0.2023631103116539	0.34116919270027835	0.375	0.43937087772704214	0.48483727810650884	0.41218081435472737	0.4158450704225352	672	0	5	0	59	545	NA
Streptococcus thermophilus [ref_mOTU_v2_0219]	0.030805848249472582	0.4465593289084239	0.19465505335808433	0.03582878763487024	0.0013145166106774988	9.38962546278892e-4	0.29315968579354185	0.6651716768790481	0.5143305888755676	0.37082795202090696	0.016491208388499528	0.0072854021256650026	-0.42668226887002875	-0.06362947190932611	0.14821045614045025	-0.2732276579422775	-0.6264141756024321	-0.24834862363672283	0.38230745437673985	0.45958333333333334	0.5611364789446981	0.3868343195266272	0.3191856452726018	0.4114011656143759	608	0	22	1	759	712	NA
Lactobacillus casei/paracasei [ref_mOTU_v2_0226]	0.33858270600759904	0.35254340847684656	0.7902829694024825	0.19482669716549456	0.6467415801608049	0.1079157618238728	0.6773314530913208	0.5904638581992261	0.8989415497428839	0.5405642947824745	0.8331584411355674	0.2569730463627463	-0.11101010346125066	-0.08358606060081061	0	-0.04439560045282791	-0.04301967150600038	-0.05640228720417791	0.45901639344262296	0.46388888888888885	0.495687468290208	0.4620931952662722	0.4773982056590752	0.4634895580378825	1	52	47	0	55	183	NA
Megasphaera elsdenii [ref_mOTU_v2_0252]	0.6494424658685358	0.17007629621064738	0.235587340320982	0.3267065548685848	0.038236783076933005	0.4526229297484978	0.8848819438372371	0.42902128773856996	0.5143305888755676	0.6681890605510854	0.17417041595122507	0.6309964981222901	0.01603325101803789	0	-0.09007383173768796	0	0.027220984092346655	-0.009363919325460683	0.48530776368697803	0.5252777777777777	0.46245560629122273	0.5096153846153846	0.5462387853692201	0.5065930063137446	0	61	20	NA	37	104	NA
Streptococcus sp. [ref_mOTU_v2_0261]	0.24428308831753842	0.2528146485723618	0.8565471909459067	0.6931384863826755	0.7335670427933125	0.7057211538529821	0.6257456345281434	0.5309107620019599	0.9238885711420565	0.8966098822105142	0.880280451351975	0.8264238063740439	-0.07218702758502371	0	-0.0351859779396412	0	0.026116073737721943	-0.016251386357388594	0.46056294463346736	0.5247222222222222	0.49492643328259767	0.49149408284023666	0.5101794340924776	0.4960174842156386	6	56	36	0	46	123	NA
Enterobacter sp. [ref_mOTU_v2_0265]	0.9306405330330969	0.030724396029515724	0.22947737066410417	0.15324810934085378	0.22749529416853645	0.9326275338753311	0.9859242568133512	0.18174994834361416	0.5143305888755676	0.4921549200622647	0.455242167356914	0.9670981712711729	0.01022169580531962	0.042985007053357255	-0.11403870413115079	-0.04684144570093253	0.04961232330798867	-0.011612224733083555	0.5029384472626044	0.5495833333333333	0.45865043125317095	0.4622781065088758	0.5341614906832298	0.503399708596406	6	131	36	0	29	148	NA
Bacteroides stercoris [ref_mOTU_v2_0275]	0.9198219673214394	0.5221072427039498	0.47941502380452067	0.5577606697702725	0.017899700517688487	0.14782563489788902	0.9837083029867322	0.7285217340055113	0.6976071229872008	0.8450785763890105	0.10050991882414857	0.3198852512847963	-0.02296805922651378	0.19124892667651544	0.20676913343929104	-0.16398915230661051	0.47586009510505095	0.13738418873754663	0.49458707083204456	0.5333333333333333	0.5365296803652968	0.46653106508875736	0.6297446514837819	0.542229237493929	0	0	0	0	320	26	NA
Prevotella nigrescens [ref_mOTU_v2_0276]	0.0303602678470994	1.511141294633182e-4	0.017353139378736535	0.0434317101015428	0.018086929836712725	2.0851309567859744e-9	0.29315968579354185	0.007744060517951525	0.1810923551043082	0.37854164172713095	0.10050991882414857	1.0413389307713484e-7	0	0.173855157900346	0.08789859323492746	0	0	0.052350750227054696	0.5377358490566039	0.6083333333333333	0.5605022831050228	0.5384615384615384	0.5434782608695652	0.5600473530840214	30	459	263	44	94	599	NA
Streptococcus sanguinis [ref_mOTU_v2_0279]	0.0228030004030819	0.8090690529815012	0.4873913349549707	0.3410262574635666	0.0320569803208673	0.12672592100054775	0.25544520286977457	0.9120660983472444	0.7020646450580108	0.6771456623017581	0.1534287844258851	0.2884458630816757	-0.25443228168374965	3.5847498071916355e-4	0.06591158714763606	0.09288882990139703	-0.3473688539989785	-0.08852844873059518	0.3785957315187133	0.48777777777777775	0.534753932014206	0.5508505917159764	0.3816425120772947	0.4628885381253035	458	24	24	0	555	134	NA
Ruminococcus gnavus [ref_mOTU_v2_0280]	1	0.08423309513810498	0.023483676385809615	0.009571787038840283	0.6764659097335389	0.001710755693923538	1	0.3170883204670476	0.20418064759881016	0.285303965899652	0.852335134744669	0.011713157936621643	1.389913273584868e-4	0.3784414988441984	0.5232696697066461	0.6201333073172497	-0.07650197287923657	0.28909629886324323	0.5001546551190844	0.5902777777777778	0.6177067478437341	0.647189349112426	0.5236369910282954	0.5775558523555124	0	625	20	695	0	687	NA
Ruminococcus lactaris [ref_mOTU_v2_0281]	0.9537615281137077	0.3792763826829531	0.9750035937882859	0.14204789783624522	0.8251768038101231	0.1745506720048955	0.9911818877920351	0.6138577291978432	0.9879690671099387	0.4921549200622647	0.918528546593321	0.3562344243561449	0.005262855800533754	-0.210130474495536	-0.032754486890910664	-0.42107677420249096	-0.0680183672833252	-0.14534344941434582	0.5032477575007733	0.4534722222222222	0.5016489091831557	0.4197485207100592	0.48757763975155277	0.4686134045653229	0	0	0	0	0	39	NA
Bacteroides fragilis [ref_mOTU_v2_0286]	0.0664761822195037	0.028938672854456504	0.18776038292192232	0.09116888651516736	0.2149497997405977	0.0018512348152128766	0.37819557722177105	0.1774341985236749	0.5123591469432541	0.45167267561853675	0.44383649422746857	0.012573586864925858	0	0.10045966029837776	0.25383701217925714	0	0.11061176579946931	0.09298168765542084	0.5388184348901949	0.5645833333333333	0.5535261288685946	0.5390162721893491	0.5407177363699104	0.5516209324915007	34	170	50	4	14	626	NA
Bacteroides fragilis [ref_mOTU_v2_0287]	0.02108055693558364	0.04956029102626209	0.009459718204149363	0.06697177565594722	0.02632646790864029	9.007591952325811e-7	0.2465254019411309	0.2428551681634758	0.14133931905023167	0.4233025209398802	0.13455750264416147	2.2492486963307684e-5	0.588416767398323	0.4587800497699805	0.6414841040436416	0.4723553319301343	0.47334821075392003	0.5268768927791999	0.6235694401484689	0.6	0.6334348046676814	0.6042899408284024	0.6219806763285024	0.6185466245750365	85	636	578	0	5	823	NA
Streptococcus mutans [ref_mOTU_v2_0289]	0.044110443487994005	0.053494750739438636	0.9629855195101429	0.4498827453055213	0.5032927530920843	0.8767407582676672	0.3316160126508121	0.24964217011738032	0.9823854086197121	0.7875325858625194	0.7027426636766371	0.9380234970673587	-0.2563295930048078	0.14487953889621258	-0.0071300565081186314	0.09064225825061364	-0.11414578364718796	-0.02841672720265763	0.4025672749768018	0.5715277777777777	0.5017757483510908	0.5380917159763313	0.4642857142857143	0.483869596891695	30	195	27	0	33	160	NA
Bacteroides nordii [ref_mOTU_v2_0302]	0.47362830916123	0.08012274714084722	0.8807166322964778	0.33258385988060357	0.00490570984201865	0.0068059958628583495	0.8105590168978773	0.3131977458786049	0.938609893440442	0.669091695316097	0.0420443971436389	0.03454248793521843	0.2019990201308022	0.2635456749456759	-0.029279757011405578	0.21906641296584498	0.3339385372856812	0.19785397766331972	0.535725332508506	0.5816666666666667	0.4921359715880264	0.5502958579881657	0.6300897170462388	0.5688623118018455	0	380	1	0	300	718	NA
Coprococcus sp. [ref_mOTU_v2_0303]	0.4482229463701337	0.09223358950803931	0.8276177390093328	0.018091623184198546	0.9705295791177786	0.07704875809241996	0.7841695750124359	0.32945972083219904	0.9196666782175446	0.3187205105641786	0.9860104190300867	0.20899167929860876	0.038441196424012156	0.04723604070911387	-0.0019233200941682054	0.3802507249437325	-0.027075472240607103	0.08738583394841665	0.5204144757191462	0.5408333333333334	0.4921359715880264	0.6009615384615384	0.49827467218771565	0.5281265177270519	1	70	7	393	16	76	NA
Streptococcus anginosus [ref_mOTU_v2_0351]	0.15552683849058527	0.02012912739402123	0.10473797339560417	0.13769385603269135	0.6426427464808433	0.009815837889212586	0.5487627151854597	0.14208795807544397	0.3912271359188744	0.4921549200622647	0.8301219876538818	0.04553905119093708	0.16129774394266289	0.0901878301603395	0.061515273194320826	0.038272641408424395	-0.03714426292289709	0.06282584515657011	0.5561398082276524	0.5641666666666667	0.5445205479452054	0.5392011834319527	0.4825741890959282	0.5340456532297232	23	180	75	4	70	266	NA
Streptococcus oralis [ref_mOTU_v2_0356]	0.8024511043302969	0.08051970893229891	0.013634010969210972	0.5414056313400984	0.9648648137903758	0.04231571799060352	0.9556772699379208	0.3131977458786049	0.16527089853674773	0.8450785763890105	0.9828674014506722	0.14033611161727494	0.008070513584350155	0.21177637723156495	0.24050753346970916	0.06382189547792173	0.02336199392837536	0.10950766273838428	0.5134549953603464	0.5825	0.6234145104008119	0.5325443786982249	0.5025879917184265	0.5499757163671686	9	442	65	0	9	294	NA
Haemophilus parainfluenzae [ref_mOTU_v2_0358]	0.5831078559498	0.04079962091401391	0.01652248928940378	0.7667538910278238	0.03648432140148898	0.26133058995120523	0.8584941398557441	0.2211076230178818	0.179859097693224	0.9216498399584505	0.1687654643599602	0.4468373793705886	0.05052256664524169	-0.3128536470884605	-0.4672273076900944	0.04698030983417546	0.29314266567430514	-0.07788708252496651	0.5293844726260439	0.39694444444444443	0.37798072044647385	0.5166420118343196	0.6017943409247757	0.48693540553666825	1	19	497	0	5	70	NA
Lactococcus lactis [ref_mOTU_v2_0371]	0.43585866145721724	0.33637548181887833	0.2263412363837755	0.7569748022824205	0.4000306098595804	0.6070936926482019	0.7775275274300358	0.570751976664452	0.5143305888755676	0.9216498399584505	0.6203471800604198	0.7568612996451151	-0.08996769092048093	-0.10936694411377751	0	-0.02034258857084567	0.11946153384962908	-0.020043137951095004	0.46241880606248065	0.45652777777777775	0.5136986301369864	0.4855769230769231	0.5410628019323672	0.47767119961146187	0	33	62	0	2	130	NA
Enterococcus faecium [ref_mOTU_v2_0372]	0.0018462473656392475	0.36568970362261655	0.8572037005215669	0.08226670008555033	0.0391049416955852	0.13936973079679482	0.08516792359719669	0.6023124530254861	0.9238885711420565	0.43463559928627665	0.17417041595122507	0.3073374063544904	-0.4809627228623839	-0.07717249938378143	0	0	0.3424881116507946	-0.04312942211907414	0.35122177544076705	0.4708333333333333	0.49530695078640286	0.47115384615384615	0.6004140786749483	0.46516512870325394	590	71	24	0	1	106	NA
Acidaminococcus intestini [ref_mOTU_v2_0391]	0.06585370145945378	0.5882507562319745	0.07155418413484432	0.6210624134047413	0.00549051050420138	0.0027064656516584407	0.37819557722177105	0.7637881511384459	0.380917041421654	0.8701178989832924	0.045461426974787424	0.01689550984013247	0.2527520743081246	0.03853254581817587	0.2924401008840642	0.18452387703893877	0.34095230635507034	0.22184018088087476	0.56371790906279	0.5161111111111111	0.5662100456621005	0.525887573964497	0.6055900621118012	0.5548324429334628	25	45	79	0	269	573	NA
Streptococcus sp. [ref_mOTU_v2_0416]	0.0395927716162668	0.03201385615813064	0.029929688808419376	0.10140624080493324	0.4293740778438022	5.66551868709686e-4	0.3205491702009293	0.1830134982412469	0.2407833640647422	0.4669614183419706	0.6398611061663885	0.005063184595100247	0.20208006200822112	0.06565466120405793	0.3696716792380882	0.09082740241024165	-0.0357015434710611	0.13850645227790956	0.583668419424683	0.5569444444444444	0.589041095890411	0.5499260355029586	0.4775707384403036	0.5568661971830986	45	132	218	39	134	539	NA
Anaerococcus obesiensis/vaginalis [ref_mOTU_v2_0429]	0.04122084681015953	0.012836221764601525	0.18287964403784784	0.13119107943284178	1.311742577804582e-6	1.5870015523944403e-8	0.3277053254576987	0.10970016622831837	0.5123591469432541	0.4921549200622647	1.3740563152158766e-4	5.858105730360347e-7	0.15592891678257798	0.14912546934846324	0	0.15891044792094156	0.37219224693930214	0.167231416198257	0.5672749768017321	0.5819444444444444	0.5309487569761542	0.555473372781065	0.694271911663216	0.5786182612918892	79	285	63	2	486	598	NA
Bacteroides barnesiae [ref_mOTU_v2_0452]	0.06226507683329038	0.5801961316496812	NA	0.32925258056140444	NA	0.04814440443383061	0.36920559643401757	0.7567775630213233	NA	0.6681890605510854	NA	0.15229981938632656	0	0	0	0	0	0	0.5283018867924528	0.5080555555555556	0.5	0.5186760355029586	0.5	0.510575522098106	19	74	NA	0	NA	148	NA
Bacteroides massiliensis [ref_mOTU_v2_0455]	0.8234574657181761	0.002725140667994193	0.010343695338797849	0.8729304060696437	5.8135394296334e-4	0.2640120687544799	0.9656701756750756	0.04162033020209313	0.15157492015699925	0.9961191573753571	0.009823695199462152	0.4486408359262332	0.02980194620671599	-0.769355975951497	-0.7264567297419278	0.041530689912297844	0.6908535657264598	-0.1467253007695902	0.5115991339313332	0.3470833333333333	0.37531709791983764	0.5092455621301775	0.6749482401656315	0.47589849441476445	0	615	569	0	594	25	NA
Bacteroides salyersiae [ref_mOTU_v2_0458]	0.15676770510886334	0.12220178071150241	0.9541764539385078	0.8950952166904961	0.010427570581061578	0.4300576642399232	0.5499933654235956	0.390413390154039	0.9785766593555087	1	0.06999281804183143	0.6146783786863549	0.24472071358088723	-0.27792086935836596	0.04881293512635218	0.12976881249241812	0.2797945810106708	0.08503523457039247	0.5612434271574389	0.4323611111111111	0.5027904616945713	0.5066568047337279	0.5954106280193237	0.5239193783389995	8	39	3	0	151	119	NA
Blautia wexlerae [ref_mOTU_v2_0466]	0.0015538924505164088	0.8194007514114254	1	0.13569225121335418	0.0030122899124970875	0.04218343056646027	0.08516792359719669	0.9165068324708354	1	0.4921549200622647	0.031144799092697992	0.14033611161727494	-0.42851901783027285	0.016891260676494328	-0.005042047896817732	0.14968205645909574	-0.3789181559146537	-0.12918118090123085	0.32755954222084754	0.5122222222222222	0.5	0.5850591715976331	0.3329882677708765	0.4370446818844099	748	625	0	0	733	585	NA
Clostridium saccharogumia [ref_mOTU_v2_0473]	0.9756774793510794	0.025652299657666192	0.07934748378828434	0.7729303974847412	0.21602154638983725	0.17006122091853199	0.9984654558982594	0.1644880283392336	0.38191355389355774	0.9216498399584505	0.4449399015193663	0.3512219456624154	-0.02794249522875334	-0.2395481208801653	0	-0.01335322748925836	-0.1711285786143142	-0.09039448444249824	0.5013918960717599	0.4173611111111111	0.5385591070522577	0.49038461538461536	0.44858523119392685	0.4735915492957747	0	255	77	0	131	160	NA
Megamonas funiformis/rupellensis [ref_mOTU_v2_0502]	0.012306512113514002	0.05666328095364215	0.8437794762601792	0.49670203364679766	0.9857769221084124	0.14115795528237274	0.2082216648055016	0.2572819243300508	0.9209878989223828	0.8207118672791397	0.9944852449979651	0.3096721034489262	0.22856197457706298	0.004166160248316142	-0.03094126521918395	-0.05546495733732178	0.012089191363985249	0.03168222072657173	0.5886173832353851	0.5411111111111111	0.48985286656519533	0.47836538461538464	0.5008626639061422	0.5315201554152501	236	65	0	0	15	16	NA
Prevotella intermedia [ref_mOTU_v2_0515]	0.0019023595202886522	0.023427832950868914	3.81813428605186e-4	0.1632416564690763	2.750801232301305e-4	3.4654945579859486e-11	0.08516792359719669	0.1513798436825376	0.01939612217314345	0.4921549200622647	0.006596471299374429	2.4518373997750587e-9	0.18220374378769522	0	0.3421487231508073	0	0.11198605619737778	0.12726770462717607	0.5867615218063718	0.5416666666666666	0.6147894469812278	0.5295857988165681	0.5978260869565217	0.5762263234579893	424	142	555	11	318	729	NA
Prevotella oris [ref_mOTU_v2_0520]	0.06226507683329038	0.32544340964831414	0.3985878333754907	0.08226670008555033	0.2494409579748128	0.00230893888801309	0.36920559643401757	0.5627895492143509	0.6418633524735059	0.43463559928627665	0.4630876977648991	0.015314758718149324	0	0	0	0	0	0	0.5283018867924528	0.5083333333333333	0.5068493150684932	0.5288461538461539	0.5108695652173912	0.5158450704225351	18	NA	NA	4	NA	225	NA
Solobacterium moorei [ref_mOTU_v2_0531]	0.025767172363351857	9.15184298507542e-8	5.07843774461253e-6	0.19982531976427725	0.04533996753768258	1.1677325773007396e-12	0.2746323940499021	3.843774053731676e-5	7.739539122789496e-4	0.5460573094548566	0.18402692706471163	1.416292797326183e-10	0.27495837622086455	0.5934096604602248	0.5572409370217821	0.11750160231222978	0.19751368613130688	0.34812485242928165	0.5983606557377049	0.7334722222222222	0.69558599695586	0.5482618343195266	0.5866114561766737	0.6398919378339	411	688	624	2	10	768	NA
Veillonella atypica [ref_mOTU_v2_0561]	0.7844433634921266	0.24926230851244732	0.7010558646101097	0.401868554507166	0.2031015464080326	0.573933952570155	0.9554270656299	0.529114943555358	0.8602328000529847	0.7410849958394955	0.4290002051679872	0.7371708407444199	0.05578565338657208	0.1527247349770439	-0.11426052461005962	-0.1390473756956902	0.16730920656312448	0.024502338924198126	0.5139189607175997	0.5555555555555556	0.4811009639776763	0.45340236686390534	0.5690131124913734	0.5181277319086935	0	428	3	0	2	82	NA
Lactobacillus mucosae [ref_mOTU_v2_0568]	0.0855446898908263	0.3276239161497828	0.2659718633228892	0.32925258056140444	0.9864870559920177	0.3078346835368754	0.43681539352410886	0.5627895492143509	0.5361655022540782	0.6681890605510854	0.9944852449979651	0.5020577572338848	-0.042744785063385124	0	0.08805255183802482	0	-0.009585469733339161	0.007144459408260108	0.4539127745128364	0.48374999999999996	0.5334855403348554	0.4813239644970414	0.49930986887508627	0.4917192812044682	50	126	49	0	56	112	NA
Enterococcus durans [ref_mOTU_v2_0598]	0.392967324087314	0.5539094056502107	0.3985878333754907	0.1593093933675842	0.9594766670316985	0.2919080065889062	0.7172940554842064	0.7492494375944879	0.6418633524735059	0.4921549200622647	0.9820107296690314	0.48689567307265497	-0.09218102722824613	0	0	0	-0.014512852762673093	-0.021338775998183845	0.4656665635632539	0.49138888888888893	0.5068493150684932	0.4807692307692308	0.5017253278122843	0.48395458960660515	2	122	NA	0	59	136	NA
