GuptaA_2019	HanniganGD_2017	ThomasAM_2018a	ThomasAM_2018b	ThomasAM_2019_c	YachidaS_2019	all
Coprococcus eutactus	-1.37304637570767	-0.121446389741593	0.23861447668371	0.388028583211684	0.154121136880546	0	-0.118954761445554
[Eubacterium] rectale	-3.19590138659348	-0.811181830683799	-0.932392026677993	-0.359907261403103	0.58889501212304	0.44447793037567	-0.711001593809944
Limosilactobacillus mucosae	0.768796627619434	0	0	0	0	0	0.128132771269906
Bacteroides ovatus	1.13162869697672	0.136551354108563	-0.719493670094782	-1.09142208587586	1.15163187634055	0.512416324344105	0.18688541596655
Butyricimonas virosa	2.22409195772656	0	0.165648662602638	0.563315274816574	0.870326291392487	0.141550856640926	0.660822173863198
Parabacteroides goldsteinii	1.05799731152137	-0.0596316025777129	0.281387565557222	-0.550490808138732	0.845517997072833	0.509153829542978	0.347322382162994
Lachnospira eligens	-0.437670686604724	-0.342082596710989	-1.94997078923653	-0.404195052576745	-0.254684166085831	-0.599833217263468	-0.664739418079714
Roseburia inulinivorans	-0.0388867373278832	-0.198108174067648	0.343236859600203	0.543503137691309	-0.09021455215118	-0.28825889883411	0.0452119391517819
Peptostreptococcus stomatis	0.277546360426986	0	0	1.49422224513474	1.44108120521132	0.348502183359392	0.593558665688739
Oscillibacter sp. 57_20	-0.112624731336094	-0.188390609825264	0.0857385892591685	1.10377763043219	-0.0151442741089848	-0.0477364306402389	0.137603362296796
Faecalibacterium prausnitzii	-1.79050636084783	-0.445567211188834	-0.319814193896929	-0.0285257986415219	0.259974571468005	-0.420372379420137	-0.457468562087874
Phocaeicola dorei	-0.607208217229164	-0.830637257548616	-0.624004059455678	-1.56677417231786	-1.13525120056813	-0.316405996989692	-0.846713484018189
Parabacteroides gordonii	0.015946841876443	0	0	0	-0.217999009977432	0	-0.0336753613501648
Dorea longicatena	-1.54804099242439	0.0847863415200125	-0.700419312463013	-0.181788014637984	1.14652241823714	0.0783514814500866	-0.186764679719691
Lactobacillus amylovorus	0	0	0	0	0	0	0
Prevotella copri	-1.74225305422354	0	0.929796872238726	0.476100528897549	1.56695152124938	0.208031207880812	0.239771179340488
Dorea formicigenerans	1.45293511722624	-0.496722085802724	-0.209625580729872	0.0525143763317958	0.471154529440639	0.0572000583574582	0.221242735803923
Bacteroides xylanisolvens	1.16064784567143	-0.452854174922308	-1.298265439708	-0.360404724702142	0.222052902011595	-0.0949116068241042	-0.137289199745588
Phascolarctobacterium faecium	1.54674946534375	0.386003900661714	-0.416930147177699	-0.279915008130372	-0.252615860079077	-0.291793149374561	0.11524986687396
Akkermansia muciniphila	2.66880044703858	-0.471200515550956	-1.18496561768228	0.29973152146736	1.2941430503682	0.297281004831341	0.483964981745374
Parasutterella excrementihominis	0.504342720515445	0	-1.10595699728685	0.0621550856681783	-0.520471820042767	-0.285923726211916	-0.224309122892985
Slackia isoflavoniconvertens	-0.951290218278428	0.257551347846648	0.857342016758355	1.21462419871768	0.498425999934905	0.238681769452879	0.352555852405339
Bacteroides nordii	0.262665503047338	0	-0.0384490561792366	0.32625001038037	0.543423036695289	0.27826341280265	0.228692151124402
Firmicutes bacterium CAG:110	1.01293428765516	-0.467165857656932	-1.07138787306321	1.09731002729841	-0.0149395380966143	-0.209034459960415	0.0579527643627346
Dialister micraerophilus	0	0	0	0	0	0	0
Bacteroides eggerthii	2.36380401369975	-0.778351990240659	0.485942596605017	0.335184469642058	0.405255660901312	-0.0745143807571174	0.456220061641727
Coprococcus comes	-0.125381338299564	-0.595244672665186	-0.404797078729891	0.633884504166087	0.789798968756857	0.216862238451589	0.0858537702799822
Parabacteroides merdae	1.07477218068847	0.77523636674545	-0.393038234835759	0.0400865868476326	0.852069492224898	0.509525342826473	0.476441955749528
Bacteroides faecichinchillae	0	0	0	0	0	0	0
Escherichia fergusonii	0	0	0	0	0	0	0
Phocaeicola plebeius	0.901645287904611	0	0.114597695582918	0.308552439035836	0.642380124240265	0.599785495619403	0.427826840397172
[Bacteroides] pectinophilus	0	0	0	0	0	0	0
Oscillibacter sp. CAG:241	1.51364477923316	0.16113128142137	-0.376387661051284	0.679064950811036	0.377623807143818	-0.0109400051208542	0.390689525406208
Bifidobacterium longum	0.597911141628342	-0.154020922902543	-0.721529167850441	-0.367159501070158	0.56441498391329	-0.11932338510146	-0.0332844752304949
Bifidobacterium breve	0.0267971178908122	0	0	-0.373227124844931	0.365663641941997	0.0265868446049702	0.00763674659880809
Bifidobacterium bifidum	-0.280228244689401	0	-0.281122114554435	-0.753090337696386	0.324746446995334	-0.184650275071973	-0.19572408750281
Enterococcus avium	0.215824161185312	0	0	0	-0.172419208691571	0	0.00723415874895689
Bifidobacterium pseudocatenulatum	-0.345539668004428	-0.690655475228833	-0.49426327484939	-1.32337295393808	-0.716752250193062	-0.41148273193132	-0.663677725690852
Enterococcus faecalis	0.330449249366967	0	0	0.0963435517306117	0	0	0.0711321335162631
Lactobacillus helveticus	0.0216981572016716	0	0	0	0	0	0.00361635953361194
Klebsiella pneumoniae	-1.80264443285237	0	0.319565816045451	0.245307020863581	-0.212465138420257	-0.0126126222457658	-0.243808226101559
Flavonifractor plautii	3.23391511793852	-0.9467278335749	-0.119613527493923	-0.771283880252968	0.265000588248866	0.0436102244005384	0.284150114877689
Corynebacterium argentoratense	0.0199591086259813	0	0	0	0	0	0.00332651810433022
Enterococcus casseliflavus	0.202899201490711	0	0	0	0	0	0.0338165335817852
Limosilactobacillus panis	0.0189875688506689	0	0	0	0	0	0.00316459480844482
Bifidobacterium adolescentis	-2.66320941438717	1.18405272968175	-1.28373677676244	-0.762468415218627	0.775853854100573	-0.0401966878798142	-0.464950785077621
Klebsiella variicola	-0.982175803763746	0	0.0228286350038516	0	-0.181373383974528	0.0178334618231779	-0.187147848485208
Anaerostipes hadrus	0.576323601278228	-0.0807427008561057	-0.494889928826961	-0.00756191347406156	0.248323784856041	-0.162582933365534	0.0131449849352678
Lactobacillus crispatus	0.862599755782154	0	0	0.186874688511741	0	0	0.174912407382316
Collinsella aerofaciens	-0.224617583598412	0.347693382342512	-0.569070287956706	0.055227629853262	1.3465390964735	0.698054885877979	0.275637853832022
Klebsiella quasipneumoniae	-0.386101468180367	0	-0.12374998022344	0	0.240751241747639	0.0604437112018899	-0.0347760825757129
Actinomyces sp. S6-Spd3	0	0	-0.0600044915833964	0.11496806501726	0.0177008016192639	0.162651167056484	0.0392192570182685
Turicimonas muris	0.164932594799715	-0.179151808676605	-0.929166349522207	-0.400348642713295	-0.300180058952737	-0.161832370362367	-0.300957772571249
Streptococcus parasanguinis	1.02394878656704	-1.11436877651845	0.27586296838293	-0.452039786875934	0.00939979748322831	0.13760239988395	-0.0199324351795403
Coprococcus catus	0.921197256913255	-0.115822972707132	-0.166975609453741	0.898890805309536	0.821305510784783	0.150683557963588	0.418213091468381
Firmicutes bacterium CAG:145	0	-0.190625253573993	1.0543663697143	0.757691404584456	0.851913012489222	0.0817387703710182	0.425847383930834
Enterobacter mori	0.206126310144342	0	0	0	0	0	0.034354385024057
Acidaminococcus intestini	0.0300912979314536	0	-0.00776453125808122	0.652090374786259	-0.310273305148171	-0.445971275425607	-0.0136379065190244
Morganella morganii	0.740011336430741	0	0.1729031392176	0	0	0	0.152152412608057
Veillonella parvula	2.62683301725095	0	0.0679742638762794	-0.409408884233215	-0.492867099580067	0.140839128555388	0.322228404311556
Aeromonas caviae	0	0	0	0	0	0	0
Citrobacter freundii	0.0284091448592354	0	0	0	0	0	0.00473485747653923
Ruthenibacterium lactatiformans	2.99292434999105	-0.980384423646693	0.0108245348648963	0.397368289027198	1.05584487017808	0.195701858396371	0.612046579801818
Prevotella buccae	0	0	0	0	0	0	0
Bacteroides stercoris	1.82121120598215	-0.577014215849789	0.620188248842724	-0.146271772702421	-0.152824220847415	0.221936845188143	0.297871015102233
Streptococcus oralis	0.0256855001103673	0.205318009093642	0.164985748218025	0.327229209937034	0.395500497739317	0.254925303040938	0.228940711356554
[Clostridium] symbiosum	1.07178530604804	0	0.862587685042633	0.592605319788306	0.933303167512211	0.184579874832432	0.607476892203937
[Ruminococcus] gnavus	1.14743635098947	0.948511164657158	-0.2333570232754	0.0827550961181422	-0.246647312494091	0.0564801937208569	0.29252974495269
Enterocloster clostridioformis	0	0	-0.104572991001479	-0.00536555790463512	-0.498938936066109	-0.0893187849472982	-0.116366044986587
[Eubacterium] siraeum	0.246447277362973	0.0739695441575472	0.198800121634336	1.35392433212044	0.674168318215205	0.0217767195269951	0.428181052169583
Roseburia hominis	-0.283767195328206	-0.919386028672261	-0.283047722064442	0.0114258090524605	0.222691455292459	-0.0527786195902766	-0.217477050218378
Streptococcus salivarius	0.119923403524455	-0.947239426478822	-0.652804105809649	-0.404018924040073	-0.207830741660995	-0.261553440667263	-0.392253872522058
Enterocloster bolteae	1.28511240355286	-0.042705101443937	-0.129074922323463	-0.111363931365471	0.299816467357323	0.21305878454956	0.252473950054478
Limosilactobacillus fermentum	0.0263842579465471	0	0	0	-0.0147520933629168	0	0.00193869409727171
[Clostridium] hylemonae	0	0	0	0	0	0	0
Citrobacter youngae	0.219279743305084	0	0	0	-0.0167065064379812	0	0.0337622061445172
Alistipes shahii	2.18772375743074	-0.409495016674546	0.437944705625654	0.460000828845513	1.97128987279832	0.551369825100567	0.866472328854374
Gemmiger formicilis	-0.679476018391106	-0.931311328913944	-0.226729146197516	0.155827465756789	0.32408267761849	-0.0628743912494107	-0.23674679022945
Paraprevotella xylaniphila	0.934682730427161	0	-0.0638858030818849	0.737900520906802	0.806549849894079	0.431021715761877	0.474378168984672
Veillonella sp. CAG:933	0.587270967444781	0	0	0	0	0	0.0978784945741302
Rothia mucilaginosa	0.0229194453380361	-0.0850965274211989	0.489726977445069	-0.612054287639428	-0.245975963132853	-0.149332829820857	-0.096635530871872
Proteobacteria bacterium CAG:139	0.177824464809001	-0.175893539763881	-1.1657503600262	-0.177925249553307	-0.197708049378078	-0.358118647225532	-0.316261896856333
Klebsiella aerogenes	0.237958070472236	0	0.0871285098726477	0	0	0	0.0541810967241473
Haemophilus parainfluenzae	-1.00779304847929	0	-0.0955242733286241	-0.208426687315443	-0.93386843937093	-0.338569610124539	-0.430697009769804
Citrobacter amalonaticus	0	0	0	0	0	0	0
[Clostridium] innocuum	0	0.134920715903925	0.187758467438986	0.0591610514967674	0.241498512806079	0.0272306862832389	0.108428238988166
Aeromonas media	0	0	0	0	0	0	0
Agathobaculum butyriciproducens	-0.298212983558805	-0.286309368086642	-0.174979580875406	-0.120785287465477	0.648645388843929	0.219103888727093	-0.00208965706921799
Haemophilus sp. HMSC71H05	-0.692551523284335	0	0.080987737026262	-0.139794621945765	0.351319057522023	0.0127554550402873	-0.0645473159402546
Bifidobacterium catenulatum	-0.0415234386711888	0	0.0399481737804806	0.426823945764218	0	0	0.0708747801455849
Allisonella histaminiformans	0.71796207114373	0	0.0193921191402366	0.790203703463505	-0.117734142498693	0.195979900935542	0.26763394203072
Klebsiella michiganensis	0	0	0	0	-0.0153062352431059	0	-0.00255103920718431
Eubacterium sp. CAG:180	0.460621600823862	0.631093179769992	0.471451756667718	0.855609603022022	0.731761303043717	0.0646772741053982	0.535869119572118
Citrobacter portucalensis	0	0	0	0	-0.0165855525620112	0	-0.0027642587603352
Citrobacter pasteurii	0.0216516977147455	0	0	0	0	0	0.00360861628579091
Ligilactobacillus salivarius	0	0	0	0	-0.0872894126834876	0.0691902976630111	-0.00301651917007942
Bacteroides faecis CAG:32	0	0	-0.903694185416439	-0.448881446328397	0	0	-0.225429271957473
Weissella confusa	0.00474777647288406	0	0	0	0	0	0.00079129607881401
Blautia obeum	-0.22404406386503	-0.483059182675344	-0.508465356440525	-0.0838242004275555	0.900599849177838	0.0675500327583264	-0.055207153578715
Veillonella sp. T11011-6	0.203171603357748	0	0	-0.0415091032607889	-0.740410520464772	0.184327008947095	-0.0657368352367863
Proteus mirabilis	0.020427979113631	0	0	0	0	0	0.00340466318560516
Kluyvera georgiana	0.0198057822116347	0	0	0	0	0	0.00330096370193912
Blautia producta	0	0.0898183758278541	0	-0.45201895846341	-0.0323542209402455	-0.179947729830079	-0.0957504222343134
Eubacterium sp. CAG:38	-0.214201373218112	0	-0.379724022123127	0.569741953306135	0.137717803569207	-0.115122669944348	-0.000264718068374197
Enterobacter bugandensis	0.0195106397179592	0	0	0	0	0	0.00325177328632654
Bilophila wadsworthia	1.16382713700241	0	-0.241521382721399	0.585736040246225	0.943793390289987	0.202742161406669	0.442429557703983
Eggerthella lenta	0	-0.800952205675134	0.27466568865911	-0.415025300456861	0.462395410920938	-0.0700175066636174	-0.0914889855359275
Rothia dentocariosa	0	0	0.0661168607753473	-0.0312091560765272	-0.00223566864742415	0	0.00544533934189931
Bacteroides caecimuris	0	0	0	0	0	0	0
Eubacterium sp. CAG:251	-0.934465150772038	-0.0157481144806393	-0.257185898274846	0.00487024747884137	0.233157519808503	-0.00221312673906657	-0.161930753829874
Gemella haemolysans	0	0	0	0.0139161777413577	0.451209963789292	0.366077936973822	0.138534013084079
Bacteroides sp. CAG:530	1.61348548144237	0	0	0	0	0	0.268914246907061
Limosilactobacillus vaginalis	0.439650647958014	0	0	0.153978618646517	0	0	0.0989382111007553
Enterocloster asparagiformis	0	0	0.0664850478846403	-0.427522447670525	0.458784330193732	0.176248291648984	0.0456658703428054
Paraprevotella clara	0.375882935187171	0	-0.562742758983272	0.0721752146753777	0.346677006933407	0.150122214499162	0.063685768718641
Gemella sanguinis	0	0.197049574170016	0	-0.085540772650932	0.23060433479599	0.0514486545342063	0.0655936318082134
Fusicatenibacter saccharivorans	-0.159426694852796	-0.0600449042848183	-0.150771327148668	0.0526793707687312	0.266678504184275	-0.274867446245043	-0.0542920829297199
Citrobacter braakii	0	0	0	0	0	0	0
Leclercia adecarboxylata	0	0	0	0	0	0	0
Firmicutes bacterium CAG:94	0	0	-0.0541734080130634	0.815655254793988	0.184705002867935	0.110359619942982	0.176091078265307
Veillonella dispar	0.290472141527678	0	0.0609341803238259	-0.475007560820552	-0.672866413372251	0.0685178749488464	-0.121324962898742
Streptococcus infantis	0.0168290389452949	0	0	0.0125613355155679	0.685517029727507	0.190506074394425	0.150902246430466
Streptococcus sp. HPH0090	0	0	0	0	-0.010853517882437	0	-0.00180891964707283
Citrobacter werkmanii	0.0165347310627573	0	0	0	0	0	0.00275578851045955
Streptococcus mitis	0.0164009904184777	0	0.148828160840194	-0.0459695475380352	0.559060237585713	0.46621729868028	0.190756189997772
Prevotella sp. CAG:520	2.38125578117106	0	0	0	0.564941513907786	0.288087379388022	0.539047445744478
Megasphaera elsdenii	-2.6057951937771	0	0	0	0.200624465721171	-0.118166404691349	-0.420556188791213
Ligilactobacillus ruminis	-2.70712256506034	0	0	0	0	0	-0.451187094176724
Veillonella infantium	0.154797086725805	0	-0.129399236925984	-0.0494968355068442	-0.701404251748763	0.0477202948260509	-0.112963823771623
Actinomyces sp. oral taxon 181	0	0	0.00669554436205323	0.0939354674655051	-0.142650670127437	0.165619864155222	0.0206000343092238
Kosakonia pseudosacchari	0	0	0	0	0	0	0
Lancefieldella parvula	0	0	0	0.412188203131136	0.229950750815556	0.251457677842064	0.148932771964793
Roseburia faecis	-3.65701720045198	1.59444263622097	-0.80152329731926	0.177357949442208	-1.07522548139979	-0.612426335137649	-0.729065288107584
Blautia coccoides	0	0	0	-0.120938792963722	-0.129679955043876	-0.014643782020058	-0.0442104216712761
Scardovia wiggsiae	0	0	0.185138104402601	-0.134503117903051	-0.010373105844488	0	0.00671031344251024
Erysipelatoclostridium ramosum	0	0.492349003280383	0.0690103816014894	-0.618833317215004	-0.752566953037095	-0.17322268764014	-0.163877262168394
Streptococcus vestibularis	0	0	0	-0.380718722731266	-0.476918380976251	0.298466408144977	-0.0931951159270899
Streptococcus peroris	0	0	0	0	0	0	0
Klebsiella oxytoca	0.0202127214531812	0	0.0965743342606381	0	0.14259127158715	0	0.0432297212168282
Blautia wexlerae	-0.0301835060351696	-0.0900589140803877	-0.663944174540104	-0.114323556256827	0.129104660044535	-0.0633351465095289	-0.13879010622958
Actinomyces sp. HPA0247	0	0	0	0.396445261976716	-0.00832337263512256	0.132633832108533	0.0867926202416877
Clostridium bolteae CAG:59	0	0	0	-0.00233212273937158	0.383866451941758	0.209014022974479	0.0984247253628109
Ligilactobacillus agilis	0	0	0	0	0	0	0
Veillonella atypica	0.672130068788513	0	0.260759972104715	-0.447124138664601	-0.749609169664201	0.20176778325936	-0.0103459140293689
Dialister succinatiphilus	-0.792405817504973	0	0	0	0	0	-0.132067636250829
Megasphaera sp. DISK 18	0	0	0	0	0	0	0
Butyricicoccus pullicaecorum	0	0	0	0	-0.212789253991927	-0.126059694132594	-0.0564748246874201
Megamonas funiformis	-0.688317033809878	0	0	0	0.462687350980434	0.329460354807662	0.0173051119963697
Veillonella tobetsuensis	0	0	0	0	0.015387941480332	0	0.00256465691338866
Ruminococcus bicirculans	-0.23893234526704	-0.318485127854634	-0.903461737748486	0.315675543391815	0.275123977467748	-0.551379575979574	-0.236909877665028
Veillonella rogosae	0	0	0	-0.0493757584188918	0.1468279968736	0.116546485181703	0.0356664539394018
Bifidobacterium ruminantium	-0.908458696459939	0	0	0	0	0	-0.151409782743323
Megamonas hypermegale	0.000201684387133357	0	0	0.201803453268167	0.289558264651683	0.239878874179663	0.121907046081108
Anaerotruncus colihominis	0	0	0.249461964810337	0.0690674929656715	1.44387574463051	0.537293295983481	0.383283083064999
Alistipes onderdonkii	1.04801654166094	0	0.209176555058558	-0.166096584894916	0.315137705840092	-0.0131919012864657	0.232173719396368
Actinomyces sp. ICM47	0	-0.0832823984080733	0.103979238824787	0.377894505623187	0.0967509735895664	0.0596907214796267	0.0925055068515157
Tractidigestivibacter scatoligenes	-0.931131816306162	0	0.0585946148322741	0.223027661631621	0.135541188264096	0	-0.0856613919296952
Citrobacter farmeri	0	0	0	0	0	0	0
Providencia rettgeri	0	0	0	0	0	0	0
Lactobacillus paragasseri	0.0190752341734042	0	0	0.373790728034797	0.0171181796799654	0	0.0683306903146944
Phocaeicola coprocola	0	0	-0.862329036718748	0.00852313872208124	0.239071612564374	0.303880825950779	-0.0518089099135856
Methanobrevibacter smithii	2.38234691078688	0.640465549938022	0	2.31550886983837	0.694540206674854	0.186060843261624	1.03648706341662
Prevotella nigrescens	0.508398623080128	0	0	0	0	0	0.084733103846688
Porphyromonas endodontalis	0.426714065924153	0	0	0	0.233164689268391	0	0.109979792532091
Clostridium sp. CAG:964	0	0	0	0	0	0	0
Dialister pneumosintes	0.765683222910861	0	0	0.299388825719243	0.883856390183376	0.166163321322091	0.352515293355928
Prevotella sp. CAG:5226	-0.103004584678724	0	0	0	0	0	-0.0171674307797872
Ruminococcus sp. CAG:563	-0.00654581691042936	0	0	0	0	0	-0.00109096948507156
Mogibacterium diversum	0	0	0	1.02284126432366	0.447055851828398	0.379012165125477	0.308151546879589
Firmicutes bacterium CAG:238	1.47740515815478	0	0	0.664073316830858	0.140336153380291	0	0.380302438060987
Bacteroides cellulosilyticus	0.181466897519305	-0.3588537505808	-0.180683721602064	0.195744395761307	0.820436427835177	0.570553004570671	0.204777208917266
Desulfovibrionaceae bacterium	0	0	0.24187641783734	0.679467578860133	0.45128229985287	0.184382704633339	0.25950150019728
Alistipes inops	0	-0.0808755747900043	-0.376353392626497	0.398203410721107	0.743368618530957	0.108208920093942	0.132091996988251
Alistipes finegoldii	0.617106940798346	-0.0670626700999563	-0.578980682049784	-0.22242563214144	0.707496794838727	0.0915060122038972	0.0912734605916318
Desulfovibrio legallii	0	0	0	0	0	0	0
Bacteroides salyersiae	0.379110829859393	0	0.445759661969141	0.204138844744616	0.68967557906311	0.0740341447259036	0.298786510060361
Mitsuokella multacida	-1.50294592624943	0	0	0.744644755914099	0	-0.171275891691404	-0.154929510337789
Alistipes indistinctus	-0.0478288912537373	0	0.328260087260961	0.780643791991037	0.918973374352563	0.367569970208802	0.391269722093271
Holdemanella biformis	0.762920816592158	-0.61217109934219	0	0.570413881953045	0.493427651863811	0.365372783366001	0.263327339072137
Firmicutes bacterium CAG:83	-1.31744872011479	-0.361772682494175	-0.438694474247448	-0.110434502479832	0.740381234606651	0.056315253480784	-0.238608981874802
Ruminococcus sp. CAG:488	1.02328999179835	0	0	0	0	0	0.170548331966392
Prevotella sp. AM42-24	0.408848474369143	0	0	0	0	0	0.0681414123948572
Eubacterium sp. OM08-24	0	0	0.0438635792304198	0.358422159576734	0	0	0.0670476231345256
[Ruminococcus] lactaris	0	0.197775048896262	0.211139595969782	0.599822152226855	-0.50994596984805	-0.301122211644094	0.0329447692667926
Gemella morbillorum	0	0	0	1.46056287896727	1.84800051038046	0.496514416386284	0.634179634289002
Desulfovibrio piger	1.3564326676229	0	0.248005876722727	-0.422326886231785	0.427978974261591	0.408117930755516	0.336368093855158
Fusobacterium varium	0	0	0	0	0.0152218292059938	0	0.0025369715343323
Intestinimonas butyriciproducens	1.14113130051994	0	0.0954822834074861	0.732784895690762	0.692777480176639	0.151446769086844	0.468937121480278
Catenibacterium mitsuokai	-0.14338565201933	0	0	0.598758229732537	0.165132027685433	0.280334576379767	0.150139863629735
Roseburia intestinalis	-1.8208537591108	-0.28713971999303	-0.679882717020066	-0.140881249593449	-0.989213663857492	-0.402162869996606	-0.720022329928575
Mitsuokella jalaludinii	-1.04192624669443	0	0	0.384641066922765	0	0	-0.109547529961945
Prevotella sp. CAG:873	0	0	0	0	0	0	0
Acidaminococcus sp. CAG:542	0	0	0	0	0	0	0
Firmicutes bacterium CAG:791	0.50221118432386	0	0	0	0	0	0.0837018640539767
Fusobacterium nucleatum	0.214969977825176	0	0	0.329621952994082	0.756525471702013	0.180840956674772	0.246993059866007
Solobacterium moorei	0.160569233936405	0	0	0.91100114599752	0.764207437967048	0.308905022116704	0.357447140002946
Prevotella sp. CAG:1092	0.963920596843653	0	0	0	0	0	0.160653432807275
Acidaminococcus fermentans	0	0	0	0	0	0	0
Fusobacterium naviforme	0	0	0	0	0	0	0
Cetobacterium somerae	0	0	0	0	0	0	0
Barnesiella intestinihominis	-0.275889769916694	-0.490010384458854	-1.11831355072007	0.474357339194905	0.679511077629397	0.0776590542182415	-0.108781039008845
Butyricimonas synergistica	0	0	0.0294082690569604	0.405598520814802	0.826438286316851	0.273284522320567	0.255788266418197
Lawsonibacter asaccharolyticus	0	-0.164487347647084	-0.293818800592924	0.586510160777783	0.747453862620707	0.0530361267612445	0.154782333653288
Prevotella sp. 885	0.839209122462154	0	0	0	0	0	0.139868187077026
Pluralibacter gergoviae	0	0	0	0	0	0	0
Bacteroides faecis	0	0	-1.04882797112515	-0.36061107106381	0	0	-0.234906507031494
Limosilactobacillus pontis	0	0	0	0	0	0	0
Alloprevotella sp. oral taxon 473	0.155110642584043	0	0	0	0.0154125650292576	0	0.0284205346022168
Megasphaera micronuciformis	0	0	0	0	0.0967672783706737	0.245788755502316	0.057092672312165
Streptococcus infantarius	0	0	0	0	0	0	0
Streptococcus salivarius CAG:79	0	0	0	0	0	0	0
Phascolarctobacterium succinatutens	0.00110665098477427	0	0.271551791038033	0.756784379576613	1.30054363134235	0.62677817230099	0.492794104207126
Comamonas kerstersii	-0.448695081497905	0	0	0	0	0	-0.0747825135829841
Lachnospira pectinoschiza	-0.847476580130659	0.187701887349731	0.18276779100399	0.19503659218886	-1.07216724335124	-0.546201477114288	-0.316723171675602
Ruminococcus sp. CAG:330	-0.163628150504819	0	0	0	0	0	-0.0272713584174698
Turicibacter sanguinis	0	-0.69664716609635	0	-0.611636301618585	-1.00239383930129	-0.192389853873485	-0.417177860148284
Bifidobacterium angulatum	-0.461167568207683	0	0	0	0	0	-0.0768612613679471
Bacteroides sp. CAG:462	0	0	0	0	0	0	0
Eubacterium ventriosum	-0.212326285571253	-0.129775140991874	-0.372989591616431	1.89132957372197	0.444282945238161	-0.292523124039021	0.221333062790259
Fusobacterium mortiferum	0	0	0.10520343988133	0	-0.0549336472073259	0.520035608331047	0.0950509001675085
Lactobacillus delbrueckii	-0.339833766487254	0	0	-0.102552239909387	0	0	-0.0737310010661068
Butyrivibrio crossotus	0.231270685830142	0	0	0	0	0	0.0385451143050236
Butyrivibrio sp. CAG:318	1.07821732182425	0	-0.0808618517142287	0.0908472358394896	0	0	0.181367117658252
Clostridium sp. CAG:510	1.7265170631719	0	0	0	0	0	0.287752843861983
Firmicutes bacterium CAG:95	0.47665870495122	0	0.183567579508997	0.741069843238676	0.333256808356851	0	0.289092156009291
[Ruminococcus] torques	-0.296916250203998	0.476053990216945	0.136721086539374	0.227618439148338	1.03897540900791	0.464716491875585	0.341194861097358
Blastocystis sp. subtype 1	0.776433837592473	0	0	0	0	0	0.129405639598746
Anaerobutyricum hallii	0	-0.379270764358887	-0.742451543822165	0.087102202475152	0.548551765942488	-0.108384024411837	-0.0990753940292082
Clostridium sp. CAG:632	1.42761537144221	0	0	0	0	0	0.237935895240369
