species	fc	auroc	p.val	p.adj	ancom.w
Megamonas funiformis/rupellensis [ref_mOTU_v2_0502]	0.03168222072657173	0.5315201554152501	0.14115795528237274	0.3096721034489262	16
Prevotella intermedia [ref_mOTU_v2_0515]	0.12726770462717607	0.5762263234579893	3.4654945579859486e-11	2.4518373997750587e-9	729
Prevotella oris [ref_mOTU_v2_0520]	0	0.5158450704225351	0.00230893888801309	0.015314758718149324	225
Solobacterium moorei [ref_mOTU_v2_0531]	0.34812485242928165	0.6398919378339	1.1677325773007396e-12	1.416292797326183e-10	768
Veillonella atypica [ref_mOTU_v2_0561]	0.024502338924198126	0.5181277319086935	0.573933952570155	0.7371708407444199	82
Lactobacillus mucosae [ref_mOTU_v2_0568]	0.007144459408260108	0.4917192812044682	0.3078346835368754	0.5020577572338848	112
Enterococcus durans [ref_mOTU_v2_0598]	-0.021338775998183845	0.48395458960660515	0.2919080065889062	0.48689567307265497	136
Bifidobacterium dentium [ref_mOTU_v2_0631]	0.05992885941359146	0.5191779990286547	0.21189539930934664	0.4006663563778069	104
Bifidobacterium pseudocatenulatum [ref_mOTU_v2_0632]	-0.1035264188708066	0.48722073822243805	0.23599922990292058	0.4212758107230613	31
Bifidobacterium catenulatum/kashiwanohense [ref_mOTU_v2_0633]	-0.17232420880121443	0.4638416707139388	0.15267398831121304	0.32898531999040576	485
Eggerthella lenta [ref_mOTU_v2_0642]	0.03671189608953999	0.5096163186012628	0.6890666547416577	0.8136545060857683	51
Clostridium innocuum [ref_mOTU_v2_0643]	0.12070592687832894	0.547565565808645	0.04921387841883473	0.15343317584124028	130
Enterococcus faecium/hirae [ref_mOTU_v2_0654]	0	0.5037336085478388	0.4495134870155235	0.6285809688262107	179
Streptococcus salivarius [ref_mOTU_v2_0656]	0.060257901420632524	0.5155415250121418	0.21504016245693802	0.4035170991288477	102
Streptococcus anginosus [ref_mOTU_v2_0687]	0.08384696002135707	0.5305973773676542	0.06370533589942484	0.18334179721563287	144
Bacteroides cellulosilyticus/timonensis [ref_mOTU_v2_0692]	0.07076155892018078	0.5257042253521127	0.4241276275410948	0.6092797898179179	58
Lactobacillus gasseri [ref_mOTU_v2_0725]	0.07189162212050358	0.5232030111704711	0.12074918026482218	0.27782128467434697	118
Atopobium parvulum [ref_mOTU_v2_0741]	0.09265237956337607	0.5315505099562894	0.08294794729386146	0.22007127266402618	268
Fusobacterium nucleatum s. vincentii [ref_mOTU_v2_0754]	0.07408101119298856	0.5708050024283633	4.963461197604602e-9	2.1069892783831536e-7	514
Sutterella wadsworthensis [ref_mOTU_v2_0767]	-0.016405882978741005	0.5020033997085964	0.8723634776994764	0.9380234970673587	38
Alistipes onderdonkii [ref_mOTU_v2_0775]	0.36063286517243337	0.5744111219038368	5.931506970562328e-4	0.0052074488556587565	779
Fusobacterium nucleatum s. animalis [ref_mOTU_v2_0776]	0.4063322376027084	0.6578132588635259	0	0	788
Fusobacterium nucleatum s. nucleatum [ref_mOTU_v2_0777]	0.06620939979729148	0.5669196211753278	4.718123669533725e-10	2.6704579969560883e-8	518
Bifidobacterium bifidum [ref_mOTU_v2_0786]	-0.09256067476719552	0.47518212724623604	0.4260987800597569	0.6110774734302933	171
Streptococcus equinus [ref_mOTU_v2_0793]	-0.010289837840786516	0.5037761049052938	0.6178617464199547	0.7646731797294948	129
Oscillibacter sp. KLE 1728 [ref_mOTU_v2_0858]	0.23303863153521706	0.5878521126760564	1.391041516560776e-4	0.001663372179662111	747
Blautia sp. KLE 1732 [ref_mOTU_v2_0859]	-0.21941752436363737	0.41769062651772704	0.004539835235649362	0.02586792023534435	667
Clostridium sp. KLE 1755 [ref_mOTU_v2_0860]	0.19466378533817236	0.5629978144730452	0.00654746460296729	0.03410305182772533	566
Hungatella hathewayi [ref_mOTU_v2_0882]	0.4366504835994467	0.6596830985915493	3.165090411982874e-11	2.442874327066782e-9	762
Clostridium scindens [ref_mOTU_v2_0883]	0.20070988565590595	0.5667982030111705	0.003302208331403822	0.020025534809727463	588
Anaerotruncus colihominis [ref_mOTU_v2_0884]	0.2548217831745877	0.601238465274405	6.772496830431685e-5	9.273951304897581e-4	624
Erysipelotrichaceae sp. [ref_mOTU_v2_0885]	0.3405890335608364	0.5996236036911121	4.3863326377069356e-5	6.774023397443717e-4	607
Clostridium boltae/clostridioforme [ref_mOTU_v2_0886]	0.38933566641020567	0.6365954346770276	1.1966301416421743e-7	3.628353536622164e-6	795
Lachnospiraceae bacterium 3_1_57FAA_CT1 [ref_mOTU_v2_0887]	0.33060791355108526	0.6087360369111219	4.941610323161427e-7	1.3533636014077586e-5	748
Bacteroides thetaiotaomicron [ref_mOTU_v2_0897]	0.15537525342029715	0.5679334628460418	0.030860873100769126	0.10962711825335977	693
Bacteroides dorei/vulgatus [ref_mOTU_v2_0898]	0.18051643779283716	0.5733608547838757	0.005619025247331155	0.03058046432682148	743
Bacteroides rodentium/uniformis [ref_mOTU_v2_0899]	0.05542831601851764	0.533821029626032	0.21706384786485433	0.40413861148522223	38
Parabacteroides goldsteinii [ref_mOTU_v2_0901]	-0.026231221003497833	0.5106787275376397	0.9736369862194563	0.9888783382319188	69
Phascolarctobacterium succinatutens [ref_mOTU_v2_0947]	-0.02652954329172197	0.4938319572608062	0.9932922684896125	0.996785413819826	7
Megasphaera sp. [ref_mOTU_v2_0965]	-0.03472530112465151	0.5116318601262748	0.8862874823503331	0.9393983427158961	74
Dorea formicigenerans [ref_mOTU_v2_0973]	-0.02942605121185928	0.5115286546867411	0.470721243134379	0.6477185339077598	49
Clostridium butyricum [ref_mOTU_v2_0978]	0	0.5108305002428363	0.08557386926162214	0.2229600336120525	182
Clostridium clostridioforme [ref_mOTU_v2_0979]	0.2591576059362269	0.5863343856240893	1.0331394603158017e-5	1.8662455357619482e-4	707
Clostridium clostridioforme [ref_mOTU_v2_0980]	0.031441091242441294	0.5376760563380282	0.0013720878561462868	0.010042263705760323	246
Veillonella parvula [ref_mOTU_v2_1042]	0.13620618603196855	0.554826372025255	0.08607355221754798	0.22347536951895486	608
Lactobacillus fermentum [ref_mOTU_v2_1050]	0.003893418524957281	0.5038914521612433	0.46385229862080024	0.6434813750474827	136
Bacteroides xylanisolvens [ref_mOTU_v2_1072]	0.010184164704568802	0.5077464788732394	0.7717362071016967	0.8747717487708151	39
Bacteroides fragilis/ovatus [ref_mOTU_v2_1073]	-0.07990444978605443	0.4883924235065566	0.2960908747940343	0.4900217401562088	13
Bacteroidales sp. [ref_mOTU_v2_1074]	0.25746923968845226	0.5916403593977659	2.1063065642290546e-4	0.0022926336833723943	780
Lactobacillus reuteri [ref_mOTU_v2_1076]	0.009775971995828282	0.5196576007770763	0.04396448268559339	0.14370589551158805	158
Porphyromonadaceae sp. [ref_mOTU_v2_1091]	0.07790114219659255	0.5165735794074794	0.20633648923114412	0.3936622008027895	119
Clostridium perfringens [ref_mOTU_v2_1117]	0.033354816127343014	0.5254249635745507	0.08935356322582177	0.2284975155985623	132
Mogibacterium timidum [ref_mOTU_v2_1136]	0.03682738644727871	0.5346891694997571	0.005889132364651273	0.03144574451313793	302
Parvimonas micra [ref_mOTU_v2_1145]	0.6355903415783447	0.7079225352112677	0	0	834
Bilophila wadsworthia [ref_mOTU_v2_1149]	0.2274484893946966	0.5983183584264207	4.663976595935537e-4	0.004351336406537661	754
Bifidobacterium adolescentis [ref_mOTU_v2_1156]	-0.2762668569188369	0.4362554638173871	0.008585591418302823	0.041652383509366266	186
Bifidobacterium ruminantium [ref_mOTU_v2_1159]	-0.0332937327882823	0.48664400194269064	0.2361923273311863	0.4212758107230613	64
Bifidobacterium sp. [ref_mOTU_v2_1180]	0.02320181304397001	0.5157843613404565	0.012777471068916135	0.05591790173974124	161
Hafnia alvei [ref_mOTU_v2_1202]	-0.008140530865295686	0.49032297231665856	0.5790562638357669	0.7381663183131624	133
Bifidobacterium angulatum [ref_mOTU_v2_1285]	0.004866320613577269	0.4949125789218067	0.6377619093755889	0.7788335274743271	145
Akkermansia muciniphila [ref_mOTU_v2_1301]	0.22501711919318826	0.5469281204468188	0.009375020295442349	0.043974542711771016	55
Anaerostipes hadrus [ref_mOTU_v2_1309]	-0.2828132712138404	0.39079650315687225	9.366968959575334e-6	1.7672348103732133e-4	785
Ruminococcus torques [ref_mOTU_v2_1376]	0.5185650810741861	0.6421260320543953	3.6047451690279786e-9	1.6107519202656598e-7	832
Flavonifractor plautii [ref_mOTU_v2_1377]	0.2714973371170831	0.623482272948033	3.5068979649111043e-6	7.835148347919809e-5	794
Parabacteroides merdae [ref_mOTU_v2_1378]	0.1246099878318438	0.532078678970374	0.18789963737879734	0.37185732432307445	48
Faecalibacterium prausnitzii [ref_mOTU_v2_1379]	-0.24221737430414994	0.44042010684798444	0.00707920923812681	0.03514765288403311	169
Clostridium saccharolyticum [ref_mOTU_v2_1380]	0.06847027695889368	0.5162336085478387	0.3656343158087607	0.5643832872709578	127
Anaerostipes caccae [ref_mOTU_v2_1381]	0.03041141380300769	0.5135866925692084	0.6148039847844842	0.7631119635702149	112
Bacteroides caccae [ref_mOTU_v2_1382]	0.3066084231294425	0.5861522583778533	0.0013674520888411479	0.010042263705760323	749
Collinsella aerofaciens [ref_mOTU_v2_1383]	0.02832326553710489	0.4981423020883924	0.8638142888464768	0.9342399123957437	4
Methanobrevibacter smithii [ref_mOTU_v2_1384]	0.24590809304081482	0.5495203982515785	0.008080173377868594	0.03942567355063469	91
Methanobrevibacter smithii [ref_mOTU_v2_1385]	0.09359574485870309	0.5212056823700826	0.023158826699821722	0.08623615731644141	74
Eubacterium siraeum [ref_mOTU_v2_1387]	0.12044755285413716	0.5100837785332686	0.2547959015594834	0.44105096808998184	6
Desulfovibrio sp. [ref_mOTU_v2_1394]	0.03374113738750991	0.5185526954832442	0.10661378539208743	0.2556923836098368	271
Eubacterium sp. [ref_mOTU_v2_1395]	0.021911788167757053	0.50404322486644	0.8321836272067249	0.9092971679517496	80
Fusobacterium ulcerans [ref_mOTU_v2_1396]	0.015325281245098849	0.5211510441962117	0.05963093768732142	0.17556555303937868	146
Streptococcus sp. 2_1_36FAA [ref_mOTU_v2_1399]	0.052602724682874274	0.521642787761049	0.3932516089307154	0.5857379227757498	132
Coprobacillus sp. [ref_mOTU_v2_1401]	0.05312769921488369	0.5192690626517726	0.30959776892641	0.5026335445770247	92
Fusobacterium sp. oral taxon 370 [ref_mOTU_v2_1403]	0.0675789701289644	0.5618261291889267	9.271620804440772e-9	3.7483838395096267e-7	617
Fusobacterium gonidiaformans [ref_mOTU_v2_1404]	7.919263670572614e-4	0.5302209810587664	1.8805165854018924e-4	0.0021007349750081666	403
Parasutterella excrementihominis [ref_mOTU_v2_1405]	-0.09658390851483002	0.4723409422049538	0.3347648407087174	0.5282813192596675	64
Bacteroides finegoldii [ref_mOTU_v2_1409]	-0.048107042634955736	0.4966245750364255	0.7970089312027759	0.8903428718304695	22
Bacteroides eggerthii [ref_mOTU_v2_1410]	0.18286341198519868	0.5409543467702769	0.04835583386393738	0.15229981938632656	53
Eubacterium rectale [ref_mOTU_v2_1416]	-0.3319132054906495	0.4043467702768334	1.5397309753439385e-4	0.0017907282165301422	747
Roseburia intestinalis [ref_mOTU_v2_1427]	-0.47081456992161264	0.3904079650315687	8.70928000522687e-6	1.7169715072354208e-4	778
Blautia hansenii [ref_mOTU_v2_1428]	-0.0029514383907291164	0.5002549781447305	0.5771414618074101	0.7379414172808602	91
Faecalitalea cylindroides [ref_mOTU_v2_1470]	0.04942483607236193	0.5132952889752307	0.33443507918139526	0.5282813192596675	60
Clostridium symbiosum [ref_mOTU_v2_1475]	0.5037448675870733	0.6652622632345798	3.482325539039266e-12	3.284993758493707e-10	811
Alistipes finegoldii [ref_mOTU_v2_1481]	0.16964058690177694	0.5384349198640117	0.05835129407671946	0.1738254339338064	294
Turicibacter sanguinis [ref_mOTU_v2_1493]	0.10484865805146783	0.5321151044196212	0.014523571372520916	0.061713165636135714	137
Porphyromonas asaccharolytica [ref_mOTU_v2_1517]	0.16589228902102243	0.5858669256920835	2.5564017569479347e-10	1.5502750654634264e-8	712
Streptococcus australis [ref_mOTU_v2_1524]	-0.09508502190964073	0.4592642059252064	0.04146519309358881	0.13914604322710236	138
Prevotella stercorea [ref_mOTU_v2_1551]	0.0593554610513949	0.5170713938805246	0.3718086887583416	0.5687668049654631	72
Alistipes timonensis [ref_mOTU_v2_1593]	0.040575547792137096	0.5210781932977173	0.25020240711908315	0.4370819828067934	155
Alistipes senegalensis [ref_mOTU_v2_1594]	-0.0907556651853292	0.46817629917435655	0.18839998358182325	0.3719804326999254	90
Senegalimassilia anaerobia [ref_mOTU_v2_1606]	-0.09102615708497651	0.469669742593492	0.2644574331419844	0.4486408359262332	109
Bacteroides faecis [ref_mOTU_v2_1706]	0.0688921997674405	0.5174902865468675	0.1136207215242151	0.26754574584444774	37
Enorma massiliensis [ref_mOTU_v2_1824]	0.05921048596121798	0.5163550267119962	0.1843031569907656	0.36904099123858486	92
Alistipes obesi [ref_mOTU_v2_1825]	-0.08023177286562419	0.47189776590577953	0.4696861439298372	0.6475623813475294	52
Blautia producta [ref_mOTU_v2_1889]	0.043514426046531905	0.51930548810102	0.29787483011581095	0.49105967139480294	157
Parabacteroides gordonii [ref_mOTU_v2_2090]	0.03947808863196103	0.5276711996114618	0.08432408102325017	0.22233274779111614	176
Porphyromonas somerae [ref_mOTU_v2_2101]	0.12598967346773612	0.5731301602719767	8.20554735270207e-11	5.358853617264659e-9	694
Porphyromonas uenonis [ref_mOTU_v2_2102]	0.08959758859027936	0.5586449732880039	2.281686728444754e-8	7.748608129798384e-7	588
Faecalicoccus pleomorphus [ref_mOTU_v2_2178]	0.14307483510261643	0.5508499271491014	8.94266060413873e-5	0.0011680490542944279	493
Ruminococcus bicirculans [ref_mOTU_v2_2358]	-0.23521065487790263	0.4489254492472074	0.03885264729681297	0.13194359021997684	82
Butyricicoccus pullicaecorum [ref_mOTU_v2_2510]	0.03253836764559766	0.5215274405050996	0.014833406203958788	0.0623443656790149	199
cand. Alistipes marseilloanorexicus [ref_mOTU_v2_2553]	0.20040586501084973	0.5471648858669257	0.017360572443760214	0.06887442058295523	412
Holdemania massiliensis [ref_mOTU_v2_2557]	0.08130781599176579	0.5317690626517727	0.17530583464024208	0.35691763455531306	178
Megasphaera massiliensis [ref_mOTU_v2_2684]	-8.825694338559946e-4	0.49885866925692085	0.9057674669078362	0.9505520140973459	121
Clostridiales bacterium VE202-09 [ref_mOTU_v2_2688]	0	0.5005767362797474	0.8822028836796669	0.9393983427158961	161
Clostridiales bacterium VE202-14 [ref_mOTU_v2_2689]	0.08825562553924288	0.5288853812530355	0.1552700449886668	0.33205105338886176	54
Bacteroides stercorirosoris [ref_mOTU_v2_2726]	-3.9595492182056005e-5	0.49237493929091797	0.49195650052203665	0.6714968954070887	104
Eubacterium ramulus [ref_mOTU_v2_2795]	-0.11971786413641029	0.45550631374453615	0.23760697709332423	0.4229105315560425	78
Phascolarctobacterium sp. [ref_mOTU_v2_2805]	0.2918576083495786	0.5685891209324915	0.03870135266596053	0.13194359021997684	750
Phascolarctobacterium sp. [ref_mOTU_v2_2806]	-0.032770130838583086	0.4849137931034483	0.3765283511367664	0.5718650628177365	46
Clostridium paraputrificum [ref_mOTU_v2_2890]	0.03252469811928516	0.5159543467702769	0.16295097459375119	0.3441427299256089	126
Dorea longicatena [ref_mOTU_v2_2893]	-0.14122258305772137	0.4740650801359883	0.2699095607153867	0.45557299611801844	38
Intestinimonas butyriciproducens [ref_mOTU_v2_2968]	0.2600413361792344	0.5961024769305489	4.577811198758219e-5	6.818529311834611e-4	695
Adlercreutzia equolifaciens [ref_mOTU_v2_3198]	-0.14609286736392982	0.4370203982515784	0.04887346428197502	0.1531128087653018	466
Mitsuokella jalaludinii [ref_mOTU_v2_3339]	0.020840874776857213	0.492690626517727	0.5505386030238175	0.7190881137957248	110
Clostridium sp. JCC [ref_mOTU_v2_3353]	0.091100245724125	0.5204589606605148	0.16697640106143408	0.34760208318602315	72
Alistipes inops [ref_mOTU_v2_3597]	0.06741923157182522	0.5118807673627974	0.2832541728464377	0.47432503500320633	45
bacterium OL-1 [ref_mOTU_v2_3607]	0.009907598706657385	0.5005463817387081	0.7207816254768853	0.8382789041505145	146
bacterium LF-3 [ref_mOTU_v2_3608]	-0.416512453538978	0.39564108790675084	8.898321121125855e-6	1.7169715072354208e-4	752
Oscillibacter sp. ER4 [ref_mOTU_v2_3624]	-0.08251282877320347	0.49408693540553666	0.7784434650222586	0.8760443976260964	9
Ruminococcus champanellensis [ref_mOTU_v2_3773]	-0.0424718386714232	0.47399222923749396	0.016493203991067712	0.0673208182135408	345
butyrate-producing bacterium SS3/4 [ref_mOTU_v2_3825]	-0.12483290622783427	0.4751578436134046	0.11376208981136117	0.26754574584444774	58
Blautia producta [ref_mOTU_v2_4020]	-0.03286608408276854	0.4828071879553181	0.3205654887715098	0.5154547347860072	122
Pyramidobacter piscolens [ref_mOTU_v2_4064]	0.003307190938607123	0.5187408936376882	0.06598957674633144	0.18800386126723284	232
Blautia obeum [ref_mOTU_v2_4202]	-0.06360632650473914	0.47609883438562406	0.6565281922916884	0.7923837818549889	50
Dorea longicatena [ref_mOTU_v2_4203]	-0.023692968410820258	0.4779747450218552	0.9124479658472366	0.9540250283304236	16
Eubacterium ventriosum [ref_mOTU_v2_4204]	-0.35130739374610626	0.41485551238465274	1.4305786056732496e-4	0.0016868906058563735	662
Desulfovibrio piger [ref_mOTU_v2_4205]	0.057874893058340926	0.5178848955803789	0.518915033241	0.6948877968795094	44
Eubacterium hallii [ref_mOTU_v2_4207]	-0.30024003196343974	0.3998421563865954	4.097574212182037e-4	0.003908809557463539	751
Ruminococcus callidus [ref_mOTU_v2_4209]	-0.2122807917680199	0.4484701311316173	0.014585998334080823	0.061713165636135714	97
Coprococcus eutactus [ref_mOTU_v2_4210]	-0.08666499325499087	0.4810223409422049	0.32641569703130063	0.5189642823587532	79
Faecalibacterium prausnitzii [ref_mOTU_v2_4211]	-0.1096369479528611	0.4688623118018455	0.26185114859125386	0.4468373793705886	25
Clostridium sp. L2-50 [ref_mOTU_v2_4212]	-0.28838070669118826	0.44031083050024283	0.011097253933744139	0.04984956925793002	666
Clostridium leptum [ref_mOTU_v2_4234]	0.07237102120420648	0.5212603205439533	0.2957435546045999	0.4900217401562088	273
Clostridium spiroforme [ref_mOTU_v2_4235]	0.005815196827434859	0.49850655658086457	0.9875455590592497	0.9966759828209611	72
Alistipes putredinis [ref_mOTU_v2_4266]	0.0708596015317151	0.5268334142787761	0.18675667128694595	0.37185732432307445	9
Intestinibacter bartlettii [ref_mOTU_v2_4268]	0.035074426394716245	0.5080014570179698	0.6274088680253107	0.7708684934203889	52
Synergistes sp. 3_1_syn1 [ref_mOTU_v2_4289]	0.05202405124419266	0.5389813016027197	0.008936984108067758	0.042867228857341955	390
Fusobacterium mortiferum [ref_mOTU_v2_4310]	0.058971566775463544	0.5340213695968917	0.014109876623030537	0.06075747229380485	241
Fusobacterium varium [ref_mOTU_v2_4311]	0.03940017278411305	0.5340699368625546	0.002501446016923037	0.015907538109322106	471
Bacteroides coprocola [ref_mOTU_v2_4312]	0.044280495316478964	0.5520883924235065	0.0224866384357707	0.08471331800328666	47
Coprococcus comes [ref_mOTU_v2_4313]	-0.22317688742746056	0.41892302088392425	0.00366990962074861	0.02178848439171727	592
Bacteroides intestinalis [ref_mOTU_v2_4321]	0.034919827588633046	0.5194511898980088	0.7322479994458533	0.8413706232278467	18
Blautia hydrogenotrophica [ref_mOTU_v2_4324]	0.07478896711180902	0.5238101019912579	0.1281689703088702	0.29095041655676684	128
Bacteroides pectinophilus [ref_mOTU_v2_4341]	-0.07382933634836052	0.47347013113161734	0.0500680604663022	0.15492501564237698	445
Bacteroides plebeius [ref_mOTU_v2_4343]	-0.07128712493360677	0.5043346284604177	0.7391778734447441	0.8469123003435732	11
Tyzzerella nexilis [ref_mOTU_v2_4366]	0.18667527936246706	0.5593127731908694	0.004312400333555733	0.024906312130536172	476
Mitsuokella multacida [ref_mOTU_v2_4368]	-0.016930560743399124	0.49380767362797473	0.24181774405861392	0.4270631730661141	108
Butyrivibrio crossotus [ref_mOTU_v2_4383]	-0.08914665561653824	0.4925206410879068	0.9248028013444725	0.9645670495595298	79
Eubacterium eligens [ref_mOTU_v2_4389]	-0.37764946352637685	0.4242229237493929	6.911149234907609e-4	0.005752515392584864	699
Clostridium asparagiforme [ref_mOTU_v2_4394]	0.24627194547563006	0.5875971345313259	3.8227791009726175e-4	0.003818281713795003	611
Holdemanella biformis [ref_mOTU_v2_4395]	0.08281120153569113	0.5103205439533754	0.3984730477435654	0.5904077094839215	7
Collinsella intestinalis [ref_mOTU_v2_4400]	0.005931259513121802	0.5051117047110247	0.6967820530885724	0.8204826117506213	101
Prevotella copri [ref_mOTU_v2_4448]	0.0339980084865826	0.5099198640116561	0.882379638586507	0.9393983427158961	0
Holdemania filiformis [ref_mOTU_v2_4459]	-0.004767892918897729	0.4931338028169014	0.8754553412173957	0.9380234970673587	95
Veillonella dispar [ref_mOTU_v2_4469]	0.05257609720558334	0.5208474987858184	0.56519786618549	0.7303698453447198	117
Bacteroides coprophilus [ref_mOTU_v2_4472]	0.0772558700577961	0.5454893152015542	3.331497920597837e-4	0.003367192541175671	377
Ruminococcaceae bacterium D16 [ref_mOTU_v2_4480]	0.2617614905056908	0.5820908207867898	1.2879077461569466e-4	0.0015620481092674967	696
Gemella morbillorum [ref_mOTU_v2_4513]	0.526584094970397	0.6960356969402622	0	0	813
Roseburia hominis [ref_mOTU_v2_4572]	-0.17871744451973795	0.45850534239922297	0.09437774625757353	0.23847234099011885	56
