GuptaA_2019	HanniganGD_2017	ThomasAM_2018a	ThomasAM_2018b	ThomasAM_2019_c	YachidaS_2019	all
Parabacteroides goldsteinii	0.00957851756339255	0.757212794309908	0.743480132615848	0.641377368262288	0.558035279812146	0.109640170254074	0.0456775496650503
Lachnospira eligens	0.921997167086482	0.757212794309908	0.242819982695745	0.922256785343076	0.558035279812146	0.190327265757538	0.00470321733792286
Roseburia inulinivorans	0.765041800110733	0.83423842120063	0.743480132615848	0.846327403632852	1	0.643996539892511	0.590563943727094
Peptostreptococcus stomatis	0.0923868497090316	0.757212794309908	0.743480132615848	0.0154504736103938	0.0305246883145591	0.000681385249304559	2.26320917562362e-08
Oscillibacter sp. 57_20	0.556674575120945	0.900678995553148	0.878515238667319	0.641377368262288	0.899596038631745	0.875594527293932	0.98229773730424
Faecalibacterium prausnitzii	0.00579867543161273	0.757212794309908	0.743480132615848	0.922256785343076	0.889924238039956	0.109640170254074	0.0305250278968097
Phocaeicola dorei	0.420946271809311	0.757212794309908	0.797558149718609	0.62116437256463	0.558035279812146	0.560875530215452	0.115761411745062
Parabacteroides gordonii	0.199862770270741	NA	NA	NA	0.528766003081966	0.974412560222371	0.720547764742224
Dorea longicatena	0.0923868497090316	0.900678995553148	0.743480132615848	0.94760082860175	0.530254034603813	0.790790890095875	0.868719319927235
Lactobacillus amylovorus	1	NA	NA	0.641377368262288	0.558035279812146	0.559980127036186	0.666418144292335
Prevotella copri	0.000551510106360496	0.900678995553148	0.743480132615848	0.922256785343076	0.501358698148373	0.73541060115327	0.916821955599834
Dorea formicigenerans	0.0534432399595116	0.757212794309908	0.949757473166582	0.656611640577307	0.558035279812146	0.643996539892511	0.513926544480693
Bacteroides xylanisolvens	0.145875182227669	0.757212794309908	0.743480132615848	0.641377368262288	1	0.714537588987618	0.499309620713591
Phascolarctobacterium faecium	0.0632955895552518	0.757212794309908	0.743480132615848	0.912993582528115	0.802544263728756	0.488704445066305	0.499309620713591
Akkermansia muciniphila	0.00897317307966024	0.83423842120063	0.743480132615848	0.641377368262288	0.428212970793485	0.582637189685672	0.248407860830797
Parasutterella excrementihominis	0.420946271809311	0.900678995553148	0.743480132615848	0.932681894250409	0.558035279812146	0.474983207657439	0.360771670979864
Slackia isoflavoniconvertens	0.222859987633143	0.900678995553148	0.743480132615848	0.641377368262288	0.558035279812146	0.510606620737788	0.271743395773141
Bacteroides nordii	0.0923868497090316	0.757212794309908	0.904279874020977	0.641377368262288	0.288986803532661	0.0513109632762283	0.00301329998973543
Firmicutes bacterium CAG:110	0.199862770270741	0.757212794309908	0.743480132615848	0.641377368262288	1	0.559980127036186	0.585743795549683
Dialister micraerophilus	0.420946271809311	NA	NA	NA	0.558035279812146	0.559980127036186	0.366690659305348
Bacteroides eggerthii	0.0013682316411505	0.757212794309908	0.743480132615848	0.86684914802683	0.753961165751996	0.895223853715971	0.590563943727094
Coprococcus comes	0.979390955717252	0.757212794309908	0.743480132615848	0.641377368262288	0.596872729573715	0.818649811263581	0.720547764742224
Parabacteroides merdae	0.183694122707911	0.757212794309908	0.834194076457756	0.8457136514771	0.558035279812146	0.559980127036186	0.24507631569411
Bacteroides faecichinchillae	0.420946271809311	NA	NA	NA	NA	0.738657074463138	0.852923803637829
Escherichia fergusonii	0.420946271809311	NA	NA	NA	NA	NA	0.590563943727094
Phocaeicola plebeius	0.296265726774709	0.757212794309908	0.959051458945065	0.922256785343076	0.70504896020535	0.379976756503043	0.212914491398461
[Bacteroides] pectinophilus	1	NA	0.743480132615848	0.641377368262288	NA	0.643996539892511	0.659667645068863
Oscillibacter sp. CAG:241	0.0560317435828406	0.849872780865547	0.820769391436844	0.641377368262288	0.649054146123375	0.88202895004639	0.720547764742224
Bifidobacterium longum	0.573821342630937	0.83423842120063	0.743480132615848	0.641377368262288	0.890605595895576	0.559980127036186	0.457979260741316
Bifidobacterium breve	0.974455459366937	0.757212794309908	0.949757473166582	0.641377368262288	0.563738397950544	0.643996539892511	0.593823996023
Bifidobacterium bifidum	0.685424413802546	0.848927518226689	0.797558149718609	0.641377368262288	0.77526251551261	0.474983207657439	0.360101059822402
Enterococcus avium	0.140061043400469	NA	0.743480132615848	NA	0.558035279812146	0.872784846225679	0.932266234138004
Bifidobacterium pseudocatenulatum	0.719249600133454	0.757212794309908	0.743480132615848	0.641377368262288	0.558035279812146	0.496156033800968	0.0388566408296107
Enterococcus faecalis	0.0923868497090316	0.757212794309908	0.743480132615848	0.96394443185876	1	0.7394864977725	0.378771074661476
Lactobacillus helveticus	0.199862770270741	NA	NA	NA	NA	NA	0.465468145188558
Klebsiella pneumoniae	0.164087970385499	0.757212794309908	0.786020328444143	0.641377368262288	0.819988262181094	0.926146651948773	0.750680600963153
Flavonifractor plautii	0.000366349444618036	0.757212794309908	0.821449889294965	0.641377368262288	0.558035279812146	0.688632610156933	0.366690659305348
Corynebacterium argentoratense	0.199862770270741	NA	NA	0.641377368262288	0.558035279812146	0.559980127036186	0.855109606819501
Enterococcus casseliflavus	0.140061043400469	NA	0.926272604295619	NA	0.558035279812146	0.8363537024594	0.50593571784924
Limosilactobacillus panis	0.199862770270741	NA	NA	NA	NA	NA	0.465468145188558
Bifidobacterium adolescentis	0.00644540463992592	0.757212794309908	0.743480132615848	0.641377368262288	0.558035279812146	0.800549826319157	0.366690659305348
Klebsiella variicola	0.420946271809311	0.83423842120063	0.966489501639473	0.660388311734534	0.802544263728756	0.934807245349063	0.627763472652399
Anaerostipes hadrus	0.118493030481069	0.900678995553148	0.743480132615848	0.97000390985706	0.871496965486448	0.474983207657439	0.50593571784924
Lactobacillus crispatus	0.027024551983628	NA	NA	0.641377368262288	NA	0.969260182632485	0.27406983919015
Collinsella aerofaciens	0.635059193638771	0.848927518226689	0.743480132615848	0.932681894250409	0.288986803532661	0.0978809940098577	0.0510955186132489
Klebsiella quasipneumoniae	0.818524712346459	0.757212794309908	0.785695283116735	0.642718785519482	0.699223981344306	0.782760208375889	0.845806495514473
Actinomyces sp. S6-Spd3	0.296265726774709	0.757212794309908	0.933216780995803	0.868896386540972	1	0.203179288393437	0.140852202207089
Turicimonas muris	0.734386295876111	0.507180858286959	0.743480132615848	0.673015652595868	0.558035279812146	0.559980127036186	0.169481155795988
Streptococcus parasanguinis	0.0243385054824642	0.757212794309908	0.78431764972981	0.853847391676613	0.982485067948447	0.739204644951986	0.876969743081033
Coprococcus catus	0.0534432399595116	0.832674516084672	0.91824303909986	0.641377368262288	0.558035279812146	0.592968365869658	0.248407860830797
Firmicutes bacterium CAG:145	0.420946271809311	0.832702066263569	0.743480132615848	0.641377368262288	0.528766003081966	0.643996539892511	0.173773517211086
Enterobacter mori	0.66482845633403	NA	0.743480132615848	0.641377368262288	0.753961165751996	0.643996539892511	0.650578819080749
Acidaminococcus intestini	0.420946271809311	0.83423842120063	0.945404134946032	0.641377368262288	0.692924431581336	0.347526176922941	0.499309620713591
Morganella morganii	0.0404197825090556	NA	0.743480132615848	0.641377368262288	0.753961165751996	0.979527349264683	0.117798932559699
Veillonella parvula	0.00356348448784233	0.774138449183934	0.956756214601649	0.656611640577307	0.713205426809591	0.559980127036186	0.54005477354512
Aeromonas caviae	0.296265726774709	NA	NA	NA	0.558035279812146	0.981865042551609	0.900410078659027
Citrobacter freundii	0.199862770270741	0.757212794309908	0.956756214601649	0.641377368262288	0.819988262181094	0.804083615913933	0.590563943727094
Ruthenibacterium lactatiformans	0.000753855050335562	0.757212794309908	0.949757473166582	0.62116437256463	0.038108154741363	0.255191446373189	0.000148494550104239
Prevotella buccae	0.296265726774709	NA	0.743480132615848	NA	0.802544263728756	0.481810237538839	0.378771074661476
Bacteroides stercoris	0.107117987188437	0.757212794309908	0.743480132615848	0.98333227818905	0.792417842808179	0.895223853715971	0.805130153788672
Streptococcus oralis	0.199862770270741	0.757212794309908	0.743480132615848	0.737500477531445	0.558035279812146	0.559980127036186	0.353671352455819
[Clostridium] symbiosum	0.0154272784792724	0.757212794309908	0.743480132615848	0.641377368262288	0.558035279812146	0.643996539892511	0.101189645015308
[Ruminococcus] gnavus	0.0404197825090556	0.757212794309908	0.870309381207175	0.986215660180183	0.802969419000489	0.832307714809248	0.602656445426976
Enterocloster clostridioformis	0.420946271809311	0.757212794309908	0.878515238667319	0.986215660180183	0.558035279812146	0.650716200977391	0.580886375795161
[Eubacterium] siraeum	0.816979076895892	0.976615050624871	0.933692333099138	0.641377368262288	0.558035279812146	0.954525150740876	0.507445245627786
Roseburia hominis	0.839049786016472	0.757212794309908	0.907456784174209	0.977224986284057	0.899596038631745	0.739204644951986	0.620431052850996
Streptococcus salivarius	0.847609673998367	0.757212794309908	0.743480132615848	0.641377368262288	0.711068411470269	0.559980127036186	0.169481155795988
Enterocloster bolteae	0.00957851756339255	0.83423842120063	0.797558149718609	0.922256785343076	0.753961165751996	0.643996539892511	0.513926544480693
Limosilactobacillus fermentum	0.199862770270741	0.848927518226689	0.908531707393981	0.98333227818905	0.802544263728756	0.979500797791845	0.916821955599834
[Clostridium] hylemonae	0.420946271809311	0.976615050624871	NA	NA	1	0.977934886186047	0.876969743081033
Citrobacter youngae	0.140061043400469	0.83423842120063	0.743480132615848	0.641377368262288	0.819988262181094	0.797937628730007	0.505801781486871
Alistipes shahii	0.014600593306907	0.757212794309908	0.743480132615848	0.646561586191851	0.0046374373053445	0.109640170254074	0.00044609492730957
Gemmiger formicilis	0.420946271809311	0.757212794309908	0.743480132615848	0.974280653717581	0.753961165751996	0.790871376600627	0.691501072669539
Paraprevotella xylaniphila	0.199862770270741	0.757212794309908	0.904056594617756	0.641377368262288	0.558035279812146	0.559980127036186	0.19138250286375
Veillonella sp. CAG:933	0.0632955895552518	NA	NA	NA	0.558035279812146	0.981865042551609	0.83166773987628
Rothia mucilaginosa	0.72571549789125	0.837624244294534	0.743480132615848	0.641377368262288	0.630716977690838	0.738551204510173	0.684947253471123
Proteobacteria bacterium CAG:139	0.296265726774709	0.507180858286959	0.743480132615848	0.922256785343076	0.73610012471898	0.260371030787269	0.117798932559699
Klebsiella aerogenes	0.296265726774709	0.757212794309908	0.743480132615848	NA	0.792417842808179	0.873097985702409	0.467010414869518
Haemophilus parainfluenzae	0.238449474691447	0.757212794309908	0.949757473166582	0.86684914802683	0.558035279812146	0.481810237538839	0.0532913472768806
Citrobacter amalonaticus	0.296265726774709	NA	NA	NA	NA	0.982854701461772	0.680147782605685
[Clostridium] innocuum	0.420946271809311	0.904789246118395	0.743480132615848	0.98333227818905	0.78898919607081	0.875594527293932	0.802599142558267
Aeromonas media	0.296265726774709	NA	NA	NA	NA	0.559980127036186	0.320975631560105
Agathobaculum butyriciproducens	0.561745697533231	0.83423842120063	0.78431764972981	0.71056781501715	1	0.786564877948391	0.895924707326608
Haemophilus sp. HMSC71H05	0.296265726774709	0.83423842120063	0.743480132615848	0.927565366447102	0.617281220739567	0.819987661525177	0.996282328302496
Bifidobacterium catenulatum	0.932884898763144	NA	0.956505342779803	0.664260521644649	0.753961165751996	0.301766425943129	0.457979260741316
Allisonella histaminiformans	0.0404197825090556	NA	0.933216780995803	0.641377368262288	0.802544263728756	0.474983207657439	0.238380379749272
Klebsiella michiganensis	0.296265726774709	NA	0.743480132615848	0.641377368262288	0.664878749140876	0.643996539892511	0.465468145188558
Eubacterium sp. CAG:180	0.53899916109033	0.757212794309908	0.775557723057363	0.641377368262288	0.558035279812146	0.769969348227977	0.447481196628336
Citrobacter portucalensis	0.296265726774709	0.757212794309908	0.743480132615848	NA	0.558035279812146	0.855850571138388	0.962398728840568
Citrobacter pasteurii	0.199862770270741	NA	0.743480132615848	0.641377368262288	0.558035279812146	0.875594527293932	0.499309620713591
Ligilactobacillus salivarius	0.296265726774709	0.757212794309908	NA	0.922256785343076	0.726194349114456	0.643996539892511	0.655152402444921
Bacteroides faecis CAG:32	0.420946271809311	NA	0.743480132615848	0.641377368262288	0.753961165751996	0.88202895004639	0.621604182599131
Weissella confusa	1	0.757212794309908	NA	0.641377368262288	0.558035279812146	0.643996539892511	0.838867161533538
Blautia obeum	0.720441655159912	0.976615050624871	0.743480132615848	0.86684914802683	0.558035279812146	0.643996539892511	0.63915870638873
Veillonella sp. T11011-6	0.140061043400469	NA	0.743480132615848	0.641377368262288	0.528766003081966	0.610691198016451	0.942140047484191
Proteus mirabilis	0.199862770270741	NA	0.743480132615848	NA	0.558035279812146	0.643996539892511	0.499309620713591
Kluyvera georgiana	0.199862770270741	NA	NA	NA	NA	0.474983207657439	0.975785521687646
Blautia producta	0.420946271809311	0.947816466580643	0.743480132615848	0.641377368262288	1	0.489120090367845	0.307496512341722
Eubacterium sp. CAG:38	0.942857363402567	0.898262583674729	0.743480132615848	0.897620920578888	0.98955820459348	0.643996539892511	0.505801781486871
Enterobacter bugandensis	0.810591149174687	NA	0.743480132615848	NA	NA	0.559980127036186	0.513926544480693
Bilophila wadsworthia	0.132757442567457	0.83423842120063	0.97261096300215	0.641377368262288	0.558035279812146	0.643996539892511	0.248407860830797
Eggerthella lenta	1	0.757212794309908	0.756480206829696	0.641377368262288	0.558035279812146	0.830415137315231	0.86983458371133
Rothia dentocariosa	0.296265726774709	0.757212794309908	0.743480132615848	0.960691077582683	1	0.474983207657439	0.320975631560105
Bacteroides caecimuris	0.420946271809311	NA	NA	NA	NA	0.559980127036186	0.876969743081033
Eubacterium sp. CAG:251	0.118493030481069	0.932185952262276	0.743480132615848	0.986215660180183	0.855413895445682	0.88202895004639	0.513926544480693
Gemella haemolysans	0.296265726774709	NA	0.743480132615848	0.97000390985706	0.558035279812146	0.203179288393437	0.112623858497398
Bacteroides sp. CAG:530	0.046649404173349	NA	0.743480132615848	0.641377368262288	0.558035279812146	0.739204644951986	0.166564252838367
Limosilactobacillus vaginalis	0.0632955895552518	NA	0.743480132615848	0.726403831112925	NA	0.877533954904113	0.465468145188558
Enterocloster asparagiformis	0.420946271809311	NA	0.956505342779803	0.641377368262288	0.558035279812146	0.643996539892511	0.590563943727094
Paraprevotella clara	0.164087970385499	0.757212794309908	0.743480132615848	0.98333227818905	0.558035279812146	0.587171558520338	0.486048661445957
Gemella sanguinis	0.296265726774709	0.757212794309908	0.743480132615848	0.991983680944053	0.753961165751996	0.699631778717834	0.680147782605685
Fusicatenibacter saccharivorans	0.824277238562567	0.7892485965435	0.859166553586356	0.853847391676613	0.715324503801478	0.643996539892511	0.968639134962274
Citrobacter braakii	0.296265726774709	NA	0.743480132615848	0.860609492605387	0.558035279812146	0.763227508164505	0.691501072669539
Leclercia adecarboxylata	0.296265726774709	NA	0.743480132615848	NA	0.558035279812146	0.954525150740876	0.980119557607799
Firmicutes bacterium CAG:94	0.420946271809311	0.976615050624871	0.956505342779803	0.641377368262288	0.759800232213189	0.643996539892511	0.465468145188558
Veillonella dispar	0.556674575120945	NA	0.97261096300215	0.641377368262288	0.558035279812146	0.672932143459641	0.876969743081033
Streptococcus infantis	0.199862770270741	0.757212794309908	0.743480132615848	0.9980593177863	0.558035279812146	0.559980127036186	0.465468145188558
Streptococcus sp. HPH0090	0.420946271809311	NA	NA	0.641377368262288	0.558035279812146	0.54150439332092	0.225794852172358
Citrobacter werkmanii	0.199862770270741	NA	0.743480132615848	NA	NA	0.88202895004639	0.680147782605685
Streptococcus mitis	0.199862770270741	0.757212794309908	0.743480132615848	0.922256785343076	0.558035279812146	0.188101896169399	0.140852202207089
Prevotella sp. CAG:520	0.0277343854043353	NA	0.743480132615848	0.641377368262288	0.558035279812146	0.602545835094681	0.141940913244305
Megasphaera elsdenii	0.00957851756339255	NA	0.743480132615848	0.897620920578888	0.65386704992292	0.787837038564662	0.308812839717694
Ligilactobacillus ruminis	0.00148596665237086	0.757212794309908	0.743480132615848	0.641377368262288	NA	0.474983207657439	0.0127332397222382
Veillonella infantium	0.483423202945556	NA	0.743480132615848	0.932681894250409	0.558035279812146	0.813286030401219	0.809081818696127
Actinomyces sp. oral taxon 181	0.296265726774709	0.757212794309908	0.966478375363192	0.960078549382145	0.802544263728756	0.559980127036186	0.465468145188558
Kosakonia pseudosacchari	0.296265726774709	NA	NA	NA	NA	NA	0.499309620713591
Lancefieldella parvula	0.296265726774709	NA	0.956505342779803	0.641377368262288	0.558035279812146	0.01162158104667	0.00301329998973543
Roseburia faecis	0.000238728083720776	0.596086983013179	0.743480132615848	0.768551583581724	0.558035279812146	0.122385606388084	0.00846662552192986
Blautia coccoides	0.296265726774709	0.900678995553148	NA	0.641377368262288	0.752141637542989	0.738657074463138	0.50614351710058
Scardovia wiggsiae	0.692921952844887	NA	0.823077754392897	0.848127087470621	0.692924431581336	0.981192282377216	0.943310417241115
Erysipelatoclostridium ramosum	0.296265726774709	0.757212794309908	0.84765788063507	0.641377368262288	0.558035279812146	0.805037328769522	0.590563943727094
Streptococcus vestibularis	0.420946271809311	0.77520623394668	0.927554968955003	0.724018793106876	0.558035279812146	0.474983207657439	0.650949465920797
Streptococcus peroris	0.420946271809311	NA	NA	NA	NA	0.559980127036186	0.465468145188558
Klebsiella oxytoca	0.199862770270741	0.757212794309908	0.743480132615848	0.641377368262288	0.715324503801478	0.767611884939325	0.256200269821384
Blautia wexlerae	0.98875615018755	0.976615050624871	0.743480132615848	0.853847391676613	1	0.708901885883853	0.590563943727094
Actinomyces sp. HPA0247	0.420946271809311	0.764590266110295	0.743480132615848	0.641377368262288	0.65386704992292	0.549387158206789	0.499309620713591
Clostridium bolteae CAG:59	0.420946271809311	NA	0.945404134946032	0.98333227818905	0.558035279812146	0.559980127036186	0.47962094158355
Ligilactobacillus agilis	0.420946271809311	NA	NA	NA	NA	NA	0.590563943727094
Veillonella atypica	0.3997877676453	0.757212794309908	0.743480132615848	0.641377368262288	0.558035279812146	0.7394864977725	0.972490366454296
Dialister succinatiphilus	0.34349810586472	NA	0.743480132615848	0.922256785343076	NA	0.76458838379349	0.590563943727094
Megasphaera sp. DISK 18	0.296265726774709	0.757212794309908	0.743480132615848	0.882381216464036	0.558035279812146	0.934807245349063	0.465468145188558
Butyricicoccus pullicaecorum	0.420946271809311	0.757212794309908	0.948045748462995	0.641377368262288	0.558035279812146	0.363478386493654	0.256200269821384
Megamonas funiformis	0.296265726774709	0.757212794309908	0.956756214601649	0.641377368262288	0.671376068795259	0.474983207657439	0.48305110635643
Veillonella tobetsuensis	1	NA	NA	NA	0.558035279812146	0.322140950996579	0.184962333767235
Ruminococcus bicirculans	0.771449270604954	0.832702066263569	0.743480132615848	0.772369828467275	0.82473763838793	0.168247164654397	0.112623858497398
Veillonella rogosae	0.420946271809311	NA	0.956756214601649	0.641377368262288	0.703761629876928	0.559980127036186	0.562141505294244
Bifidobacterium ruminantium	0.129432361259884	NA	NA	NA	NA	NA	0.117798932559699
Megamonas hypermegale	1	NA	0.743480132615848	0.760498748651748	0.711068411470269	0.559980127036186	0.499309620713591
Anaerotruncus colihominis	0.420946271809311	0.83423842120063	0.743480132615848	0.983567179395973	0.0525905078319278	0.0896224235154929	0.00364531067285529
Alistipes onderdonkii	0.0811585403853517	0.83423842120063	0.743480132615848	0.86684914802683	0.558035279812146	0.643996539892511	0.943310417241115
Actinomyces sp. ICM47	0.420946271809311	0.873587190755316	0.797558149718609	0.761484962252966	1	0.656601625208693	0.651102654747213
Tractidigestivibacter scatoligenes	0.238449474691447	NA	0.871663738027871	0.86684914802683	0.671376068795259	0.791200645373783	0.590563943727094
Citrobacter farmeri	0.420946271809311	NA	0.743480132615848	0.641377368262288	0.558035279812146	0.739204644951986	0.590563943727094
Providencia rettgeri	0.420946271809311	NA	NA	NA	NA	NA	0.590563943727094
Lactobacillus paragasseri	0.199862770270741	0.757212794309908	0.743480132615848	0.641377368262288	0.802544263728756	0.875594527293932	0.590563943727094
Phocaeicola coprocola	1	0.757212794309908	0.743480132615848	0.98333227818905	0.806548805078089	0.496156033800968	0.50593571784924
Methanobrevibacter smithii	0.013414045426968	0.757212794309908	NA	0.11556246052446	0.528766003081966	0.643996539892511	0.0388566408296107
Prevotella nigrescens	0.0632955895552518	NA	0.743480132615848	0.641377368262288	0.558035279812146	0.347526176922941	0.100147366852005
Porphyromonas endodontalis	0.0923868497090316	NA	NA	0.641377368262288	0.288986803532661	0.436485043595515	0.0201326948520197
Clostridium sp. CAG:964	0.296265726774709	0.757212794309908	0.956505342779803	0.98333227818905	NA	0.7394864977725	0.513926544480693
Dialister pneumosintes	0.0404197825090556	NA	0.743480132615848	0.641377368262288	0.288986803532661	0.000821762154822009	4.12091369748069e-06
Prevotella sp. CAG:5226	0.810591149174687	NA	0.743480132615848	0.641377368262288	1	0.559980127036186	0.590563943727094
Ruminococcus sp. CAG:563	1	NA	NA	0.641377368262288	NA	0.643996539892511	0.906806963629392
Mogibacterium diversum	0.420946271809311	NA	0.743480132615848	0.528953350533896	0.558035279812146	0.206539877515234	0.129422363977304
Firmicutes bacterium CAG:238	0.0110068297422948	0.757212794309908	0.743480132615848	0.641377368262288	0.558035279812146	0.488704445066305	0.00852879443035974
Bacteroides cellulosilyticus	0.771449270604954	0.757212794309908	0.822549092976436	0.922256785343076	0.558035279812146	0.109640170254074	0.112623858497398
Desulfovibrionaceae bacterium	0.420946271809311	NA	0.776825912800174	0.641377368262288	0.205426405431844	0.363478386493654	0.0229313980523089
Alistipes inops	0.420946271809311	0.816539654415499	0.743480132615848	0.786238381400231	0.558035279812146	0.643996539892511	0.499309620713591
Alistipes finegoldii	0.420946271809311	0.976615050624871	0.778350884231123	0.927565366447102	0.558035279812146	0.643996539892511	0.465468145188558
Desulfovibrio legallii	0.420946271809311	NA	NA	NA	NA	NA	0.590563943727094
Bacteroides salyersiae	0.0923868497090316	NA	0.743480132615848	0.853847391676613	0.558035279812146	0.814953810008043	0.45793740789223
Mitsuokella multacida	0.0923868497090316	NA	0.743480132615848	0.641377368262288	0.819988262181094	0.643996539892511	0.479115185406759
Alistipes indistinctus	1	0.800882118397853	0.871663738027871	0.641377368262288	0.501358698148373	0.211859510666528	0.0388566408296107
Holdemanella biformis	0.294589265571788	0.596086983013179	0.949757473166582	0.641377368262288	0.558035279812146	0.190327265757538	0.248407860830797
Firmicutes bacterium CAG:83	0.145875182227669	0.83423842120063	0.897175183839676	0.9980593177863	0.558035279812146	0.769969348227977	0.876969743081033
Ruminococcus sp. CAG:488	0.123860249717534	0.757212794309908	NA	0.641377368262288	0.558035279812146	0.875594527293932	0.19754751942805
Prevotella sp. AM42-24	0.881547220835405	NA	0.743480132615848	0.860609492605387	0.753961165751996	0.559980127036186	0.499309620713591
Eubacterium sp. OM08-24	0.692921952844887	0.757212794309908	0.743480132615848	0.641377368262288	NA	0.738657074463138	0.684947253471123
[Ruminococcus] lactaris	0.674611213946379	0.87368974236239	0.78431764972981	0.822353867334019	0.558035279812146	0.419184819995501	0.496171180112003
Gemella morbillorum	0.296265726774709	0.757212794309908	0.743480132615848	0.0111008957042239	0.000676060520594903	5.61199803417721e-05	5.22715204454016e-11
Desulfovibrio piger	0.0923868497090316	0.757212794309908	0.878515238667319	0.649447533944345	0.558035279812146	0.322140950996579	0.106479419320511
Fusobacterium varium	1	NA	0.743480132615848	0.641377368262288	0.842647239402946	0.88202895004639	0.821804457824261
Intestinimonas butyriciproducens	0.027024551983628	0.976615050624871	0.743480132615848	0.641377368262288	0.558035279812146	0.738657074463138	0.238380379749272
Catenibacterium mitsuokai	0.820012891049104	0.757212794309908	0.743480132615848	0.641377368262288	0.739137957339596	0.419184819995501	0.366690659305348
Roseburia intestinalis	0.00877410073271771	0.764590266110295	0.743480132615848	0.86684914802683	0.558035279812146	0.322140950996579	0.0264170721776977
Mitsuokella jalaludinii	0.0687887856142756	NA	0.945404134946032	0.641377368262288	0.558035279812146	0.667530246463733	0.50614351710058
Prevotella sp. CAG:873	1	NA	0.743480132615848	0.98333227818905	NA	0.559980127036186	0.680147782605685
Acidaminococcus sp. CAG:542	0.692921952844887	NA	NA	NA	0.558035279812146	0.941325652014866	0.590563943727094
Firmicutes bacterium CAG:791	0.34349810586472	NA	NA	NA	NA	0.88202895004639	0.79780604742711
